Project_Nr,comments,withdrawn_comments,Link,source_laptop,reward_comment_xml,filename,filesize,bolScrapeAgain,downloaded,error_description,withdrawn_comments_new
certifiablegames,10687,0,"https://www.kickstarter.com/projects/certifiablegames/the-kickst-art-book-a-kickstart-our-kickstarter-ca?ref=discovery_category_popular
",,,comment_certifiablegames.xml,37.0,True,False,,
cathrin_1,1380,0,"https://www.kickstarter.com/projects/cathrin/glowing-galaxies-glow-in-the-dark-deep-space-artwo?ref=discovery_category_popular
",,,,,True,False,,
2078704151,1190,0,"https://www.kickstarter.com/projects/2078704151/reckless-deck-solving-the-problem-of-what-should-i?ref=discovery_category_popular
",,,comment_2078704151.xml,13597.0,True,False,,
johnavonart_0,1111,0,"https://www.kickstarter.com/projects/johnavonart/magic-the-gathering-unhinged-playmats-by-john-avon?ref=discovery_category_popular
",,,comment_johnavonart_0.xml,37.0,True,False,,
hansfex,953,0,"https://www.kickstarter.com/projects/hansfex/mini-museum?ref=discovery_category_popular
",,,comment_hansfex.xml,37.0,True,False,,
1319179391,743,0,"https://www.kickstarter.com/projects/1319179391/airbrushes-for-miniature-painters-cult-of-paint?ref=discovery_category_popular
",,,comment_1319179391.xml,37.0,True,False,,
1192053011_0,623,0,"https://www.kickstarter.com/projects/1192053011/the-electric-state-simon-stalenhags-new-narrative?ref=discovery_category_popular
",,,comment_1192053011_0.xml,9416.0,True,False,,
artis-opus,613,0,"https://www.kickstarter.com/projects/artis-opus/artis-opus-series-d-brush-set?ref=discovery_category_popular
",,,comment_artis-opus.xml,37.0,True,False,,
ashdrawsthings,589,1,"https://www.kickstarter.com/projects/ashdrawsthings/draw-like-a-boss?ref=discovery_category_popular
",,,comment_ashdrawsthings.xml,8392.0,True,False,,
891905985,573,0,"https://www.kickstarter.com/projects/891905985/discover-the-painting-pyramid-with-james-wappel?ref=discovery_category_popular
",,,comment_891905985.xml,37.0,True,False,,
trumptroll,538,0,"https://www.kickstarter.com/projects/trumptroll/trump-troll-doll-sculpture-by-chuck-williams?ref=discovery_category_popular
",,,comment_trumptroll.xml,37.0,True,False,,
loscarabeo,500,0,"https://www.kickstarter.com/projects/loscarabeo/visconti-modrone-tarot?ref=discovery_category_popular
",,,comment_loscarabeo.xml,37.0,True,False,,
1199521315,482,0,"https://www.kickstarter.com/projects/1199521315/sisyphus-the-kinetic-art-table?ref=discovery_category_popular
",,,comment_1199521315.xml,37.0,True,False,,
oakashthorn,476,0,"https://www.kickstarter.com/projects/oakashthorn/oak-ash-and-thorn?ref=discovery_category_popular
",,,comment_oakashthorn.xml,37.0,True,False,,
1192053011,438,0,"https://www.kickstarter.com/projects/1192053011/the-call-of-cthulhu-illustrated-by-baranger?ref=discovery_category_popular
",,,comment_1192053011.xml,37.0,True,False,,
bentristem,435,0,"https://www.kickstarter.com/projects/bentristem/how-to-create-3d-assets-using-blender-online-cours?ref=discovery_category_popular
",,,comment_bentristem.xml,37.0,True,False,,
1199521315_0,411,0,"https://www.kickstarter.com/projects/1199521315/sisyphus-mini?ref=discovery_category_popular
",,,comment_1199521315_0.xml,12924.0,True,False,,
cathrin,392,0,"https://www.kickstarter.com/projects/cathrin/glowing-galaxy-murals-connecting-you-to-the-cosmos?ref=discovery_category_popular
",,,comment_cathrin.xml,13377.0,True,False,,
61940810_2,388,0,"https://www.kickstarter.com/projects/61940810/true-black-the-tarot-deck?ref=discovery_category_popular
",,,comment_61940810_2.xml,37.0,True,False,,
aqualumina,378,0,"https://www.kickstarter.com/projects/aqualumina/art-of-aqualumina?ref=discovery_category_popular
",,,comment_aqualumina.xml,37.0,True,False,,
2131695070,374,0,"https://www.kickstarter.com/projects/2131695070/heavens-hell-the-art-book?ref=discovery_category_popular
",,,comment_2131695070.xml,37.0,True,False,,
1499165518,366,0,"https://www.kickstarter.com/projects/1499165518/ukiyo-e-heroes?ref=discovery_category_popular
",,,comment_1499165518.xml,37.0,True,False,,
rossdraws,351,0,"https://www.kickstarter.com/projects/rossdraws/nima?ref=discovery_category_popular
",,,comment_rossdraws.xml,37.0,True,False,,
hasslefriesian,351,0,"https://www.kickstarter.com/projects/hasslefriesian/artemis-20?ref=discovery_category_popular
",,,comment_hasslefriesian.xml,37.0,True,False,,
deathburger,344,0,"https://www.kickstarter.com/projects/deathburger/the-future-is-now-volume-two?ref=discovery_category_popular
",,,comment_deathburger.xml,37.0,True,False,,
orsc,334,0,"https://www.kickstarter.com/projects/orsc/james-niehues-the-man-behind-the-map?ref=discovery_category_popular
",,,comment_orsc.xml,17859.0,True,False,,
565058636,332,0,"https://www.kickstarter.com/projects/565058636/leather-chop-cup-by-tcc-presents?ref=discovery_category_popular
",,,comment_565058636.xml,37.0,True,False,,
artofsakimichannsfw,332,0,"https://www.kickstarter.com/projects/artofsakimichannsfw/nsfw-illustration-collection-artbooks-female-male?ref=discovery_category_popular
",,,comment_artofsakimichannsfw.xml,37.0,True,False,,
requiemcards,319,0,"https://www.kickstarter.com/projects/requiemcards/keymaster-tarot?ref=discovery_category_popular
",,,comment_requiemcards.xml,37.0,True,False,,
