Project_Nr,comments,withdrawn_comments,Link,source_laptop,reward_comment_xml,filename,filesize,bolScrapeAgain,downloaded,error_description,withdrawn_comments_new
cmon,3827,0,"https://www.kickstarter.com/projects/cmon/cmon-comics-volume-1?ref=discovery_category_popular
",,,comment_cmon.xml,14878.0,True,False,,
digitalmanga_6,2516,0,"https://www.kickstarter.com/projects/digitalmanga/kodomo-no-jikan-a-childs-time?ref=discovery_category_popular
",,,comment_digitalmanga_6.xml,37.0,True,False,,
1314388029,1712,0,"https://www.kickstarter.com/projects/1314388029/hj-story-vol-3?ref=discovery_category_popular
",,,,,True,False,,
stevelichman,1390,0,"https://www.kickstarter.com/projects/stevelichman/steve-lichman-volume-2?ref=discovery_category_popular
",,,,,True,False,,
1983987666_1,1150,0,"https://www.kickstarter.com/projects/1983987666/ctrl-alt-del-10-the-box-set?ref=discovery_category_popular
",,,comment_1983987666_1.xml,9588.0,True,False,,
1983987666_0,1150,0,"https://www.kickstarter.com/projects/1983987666/ctrl-alt-del-10-the-box-set?ref=discovery_category_popular
",,,comment_1983987666_0.xml,9588.0,True,False,,
evildead2,585,0,"https://www.kickstarter.com/projects/evildead2/30th-anniversary-evil-dead-2-comic-book-omnibus-an?ref=discovery_category_popular
",,,comment_evildead2.xml,37.0,True,False,,
brianpulido,580,0,"https://www.kickstarter.com/projects/brianpulido/brian-pulidos-newest-lady-death-blasphemy-anthem-1?ref=discovery_category_popular
",,,comment_brianpulido.xml,37.0,True,False,,
437762268,526,0,"https://www.kickstarter.com/projects/437762268/brawl-in-the-family-the-complete-collection?ref=discovery_category_popular
",,,comment_437762268.xml,37.0,True,False,,
macsmith_0,488,0,"https://www.kickstarter.com/projects/macsmith/scurry-the-drowned-forest-a-post-apocalyptic-mouse?ref=discovery_category_popular
",,,comment_macsmith_0.xml,37.0,True,False,,
felipecagno_3,465,0,"https://www.kickstarter.com/projects/felipecagno/the-few-and-cursed-4?ref=discovery_category_popular
",,,comment_felipecagno_3.xml,37.0,True,False,,
842916453,462,0,"https://www.kickstarter.com/projects/842916453/the-devils-only-friend-graphic-novel?ref=discovery_category_popular
",,,,,True,False,,
