Project_Nr,comments,withdrawn_comments,Link,source_laptop,reward_comment_xml,filename,filesize,bolScrapeAgain,downloaded,error_description,withdrawn_comments_new
537219396,413,0,"https://www.kickstarter.com/projects/537219396/pyromance-glass?ref=discovery_category_popular
",,,comment_537219396.xml,37.0,True,False,,
1060627644_7,269,0,"https://www.kickstarter.com/projects/1060627644/stainless-steel-brass-and-wood-that-went-to-war?ref=discovery_category_popular
",,,comment_1060627644_7.xml,37.0,True,False,,
ferriswheelpress,264,0,"https://www.kickstarter.com/projects/ferriswheelpress/the-worlds-most-uplifting-fountain-pen-ink?ref=discovery_category_popular
",,,comment_ferriswheelpress.xml,37.0,True,False,,
549936378,246,0,"https://www.kickstarter.com/projects/549936378/artisan-boards-by-ned?ref=discovery_category_popular
",,,comment_549936378.xml,37.0,True,False,,
deskx,217,0,"https://www.kickstarter.com/projects/deskx/deskspace-handcrafted-solar-system-desk-accessory?ref=discovery_category_popular
",,,comment_deskx.xml,10914.0,True,False,,
thekingofrandom,188,0,"https://www.kickstarter.com/projects/thekingofrandom/the-king-of-random-presents-the-stealth-shelf?ref=discovery_category_popular
",,,comment_thekingofrandom.xml,37.0,True,False,,
120906014,176,0,"https://www.kickstarter.com/projects/120906014/just-a-little-kick-start?ref=discovery_category_popular
",,,comment_120906014.xml,10252.0,True,False,,
1240360759,138,0,"https://www.kickstarter.com/projects/1240360759/animal-scarves-to-help-the-animals?ref=discovery_category_popular
",,,,,True,False,,
1060627644_1,129,0,"https://www.kickstarter.com/projects/1060627644/wood-that-went-to-war-pens-made-from-wwi-battleshi?ref=discovery_category_popular
",,,comment_1060627644_1.xml,37.0,True,False,,
1433655996,122,0,"https://www.kickstarter.com/projects/1433655996/lucky-bastard-co-original-handmade-gentlemens-lip?ref=discovery_category_popular
",,,comment_1433655996.xml,37.0,True,False,,
7644830,112,0,"https://www.kickstarter.com/projects/7644830/exotic-handmade-pens-to-support-disabled-veterans?ref=discovery_category_popular
",,,comment_7644830.xml,37.0,True,False,,
