,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Project_Nr,comments,withdrawn_comments,Link,source_laptop,reward_comment_xml,filename,filesize,bolScrapeAgain,downloaded,error_description,withdrawn_comments_new
0,0,0,3714,579008005,1,0,"https://www.kickstarter.com/projects/kowabungacomics/strange-sales?ref=discovery_category_popular
",guest,False,,,True,True,,0.0
352,14,353,3682,irregularandy,1,0,"https://www.kickstarter.com/projects/irregularandy/the-big-banished-book-of-villainous-presidents?ref=discovery_category_popular
",,,comment_irregularandy.xml,37.0,True,True,,0.0
351,1,352,3683,1958050997,1,0,"https://www.kickstarter.com/projects/1879231187/create-a-new-convention?ref=discovery_category_popular
",guest,False,comment_1958050997.xml,37.0,True,True,,0.0
350,2,351,3699,jakecutrufello,1,0,"https://www.kickstarter.com/projects/jakecutrufello/phillipsburg-comic-con-2018?ref=discovery_category_popular
",,,comment_jakecutrufello.xml,37.0,True,True,,0.0
349,3,350,3456,1544836768,1,0,"https://www.kickstarter.com/projects/1216364198/comic-premiere-american-knight?ref=discovery_category_popular
",,,,,True,True,,0.0
348,4,349,3712,577187049,1,0,"https://www.kickstarter.com/projects/577187049/introducing-the-black-superheroes-presented-by-ym?ref=discovery_category_popular
",,,,,True,True,,0.0
347,5,348,3711,1247345864,1,0,"https://www.kickstarter.com/projects/612563499/falsestop-graphic-novel-volume-1-descent?ref=discovery_category_popular
",,,,,True,True,,0.0
346,6,347,3710,619533966,1,0,"https://www.kickstarter.com/projects/jetta/jetta-raye-adventures?ref=discovery_category_popular
",guest,False,comment_619533966.xml,37.0,True,True,,0.0
345,7,346,3709,612618247,1,0,"https://www.kickstarter.com/projects/1592594403/the-mystery-box-a-comic-book-for-true-sex-stories?ref=discovery_category_popular
",guest,False,,,True,True,,0.0
344,8,345,3708,sidequestcomic1,1,0,"https://www.kickstarter.com/projects/sidequestcomic1/grants-starter-comics?ref=discovery_category_popular
",,,comment_sidequestcomic1.xml,37.0,True,True,,0.0
343,9,344,3707,1946351843,1,0,"https://www.kickstarter.com/projects/yonilimor/pencil-ink-presents-neutron-city-comix-1?ref=discovery_category_popular
",guest,False,,,True,True,,0.0
342,10,343,3706,jasondoring,1,0,"https://www.kickstarter.com/projects/jasondoring/warhausen-the-official-comic?ref=discovery_category_popular
",,,comment_jasondoring.xml,37.0,True,True,,0.0
341,11,342,3705,124745490,1,0,"https://www.kickstarter.com/projects/2112609053/vagabond-and-other-comic-projects?ref=discovery_category_popular
",guest,False,comment_124745490.xml,37.0,True,True,,0.0
340,12,341,3704,immedium,1,0,"https://www.kickstarter.com/projects/immedium/the-discovery-of-anime-and-manga-japanese-animation-and-comics?ref=discovery_category_popular
",,,comment_immedium.xml,37.0,True,True,,0.0
353,30,324,3686,1637897931,1,0,"https://www.kickstarter.com/projects/laffiacomics/working-on-creating-a-new-comic-and-company?ref=discovery_category_popular
",,,,,True,True,,0.0
339,257,373,3670,571132575,1,0,"https://www.kickstarter.com/projects/1804666861/storyville-the-prostitute-murders?ref=discovery_category_popular
",guest,False,comment_571132575.xml,37.0,True,True,,0.0
337,29,338,3700,6075420,1,0,"https://www.kickstarter.com/projects/685009128/love-and-violence?ref=discovery_category_popular
",guest,False,comment_6075420.xml,37.0,True,True,,0.0
