Project_Nr,comments,withdrawn_comments,Link,source_laptop,reward_comment_xml,filename,filesize,bolScrapeAgain,downloaded,error_description,withdrawn_comments_new
844405004,1,0,"https://www.kickstarter.com/projects/844405004/spencer-weigands-eagle-project?ref=discovery_category_popular
",,,comment_844405004.xml,37.0,True,True,,0.0
nancysharoncollins,1,0,"https://www.kickstarter.com/projects/nancysharoncollins/engraving-for-nerds-ii-west-coast-book-tour?ref=discovery_category_popular
",,,comment_nancysharoncollins.xml,37.0,True,True,,0.0
951793522,1,0,"https://www.kickstarter.com/projects/mattcookdesign/raaf-the-street-collection?ref=discovery_category_popular
",guest,False,,,True,True,,0.0
1899012782,1,0,"https://www.kickstarter.com/projects/livelysusan-2/the-lively-susan-a-modern-update-to-the-lazy-susan?ref=discovery_category_popular
",guest,False,,,True,True,,0.0
ryeung,1,0,"https://www.kickstarter.com/projects/ryeung/mask-envelope-pouch?ref=discovery_category_popular
",,,,,True,True,,0.0
562648024,1,0,"https://www.kickstarter.com/projects/1319824465/elle-and-cee-world-girls-not-just-a-doll?ref=discovery_category_popular
",guest,False,,,True,True,,0.0
1584275511,1,0,"https://www.kickstarter.com/projects/250053358/railcase-for-iphone-4-and-4gs?ref=discovery_category_popular
",guest,False,comment_1584275511.xml,37.0,True,True,,0.0
954718456,1,0,"https://www.kickstarter.com/projects/954718456/the-riders-watch-for-horse-lovers-by-horse-lovers?ref=discovery_category_popular
",,,,,True,True,,0.0
1811199775,1,0,"https://www.kickstarter.com/projects/livewell/make-tap-water-healthy-again-with-the-livewell-wat?ref=discovery_category_popular
",guest,False,,,True,True,,0.0
1583816154,1,0,"https://www.kickstarter.com/projects/vitolgolf/vitol-golf-0?ref=discovery_category_popular
",guest,False,,,True,True,,0.0
933683698,1,0,"https://www.kickstarter.com/projects/522186187/droolie-pool?ref=discovery_category_popular
",guest,False,,,True,True,,0.0
1016083463,1,0,"https://www.kickstarter.com/projects/1418661464/insights-notebook?ref=discovery_category_popular
",guest,False,,,True,True,,0.0
576416894,1,0,"https://www.kickstarter.com/projects/frequencyhd/the-wrestone-size-fits-all?ref=discovery_category_popular
",guest,False,,,True,True,,0.0
56820162,1,0,"https://www.kickstarter.com/projects/547082922/game-consoles-of-yesteryear?ref=discovery_category_popular
",guest,False,comment_56820162.xml,37.0,True,True,,0.0
1123948536,1,0,"https://www.kickstarter.com/projects/746253246/bionic-resistance-suit-by-apex-resistance-and-cond?ref=discovery_category_popular
",guest,False,,,True,True,,0.0
60350952,1,0,"https://www.kickstarter.com/projects/60350952/fountain-friendly-stationery-venture-needs-printer?ref=discovery_category_popular
",,,,,True,True,,0.0
1340508149,1,0,"https://www.kickstarter.com/projects/1667326091/stringback-handcrafted-american-furniture?ref=discovery_category_popular
",guest,False,comment_1340508149.xml,37.0,True,True,,0.0
578433518,1,0,"https://www.kickstarter.com/projects/772866464/alaya-pour-over-coffee-brewer?ref=discovery_category_popular
",guest,False,,,True,True,,0.0
1491878442,1,0,"https://www.kickstarter.com/projects/1491878442/burn-gender-enamel-pin?ref=discovery_category_popular
",,,comment_1491878442.xml,37.0,True,True,,0.0
mavericksdesign,1,0,"https://www.kickstarter.com/projects/mavericksdesign/hatpak-uniform-hat-case?ref=discovery_category_popular
",,,,,True,True,,0.0
1580103457,1,0,"https://www.kickstarter.com/projects/1580103457/berlin-skin-luxurious-organic-small-batch-skin-car?ref=discovery_category_popular
",,,comment_1580103457.xml,37.0,True,True,,0.0
ongoingshow,1,0,"https://www.kickstarter.com/projects/ongoingshow/on-going-show?ref=discovery_category_popular
",,,comment_ongoingshow.xml,37.0,True,True,,0.0
94229136,1,0,"https://www.kickstarter.com/projects/1297550649/messenger-drawstring-backpack?ref=discovery_category_popular
",guest,False,comment_94229136.xml,37.0,True,True,,0.0
1900461100,1,0,"https://www.kickstarter.com/projects/lazermodels/lazer-models-building-families-by-building-toys?ref=discovery_category_popular
",guest,False,,,True,True,,0.0
1958408864,1,0,"https://www.kickstarter.com/projects/1314398234/publik-bike-station?ref=discovery_category_popular
",guest,False,comment_1958408864.xml,37.0,True,True,,0.0
604300426,1,0,"https://www.kickstarter.com/projects/danscustomwelding/the-bucket-booster?ref=discovery_category_popular
",guest,False,,,True,True,,0.0
132092282,1,0,"https://www.kickstarter.com/projects/532349983/roseto-gt-fully-electric-performance-vehicle?ref=discovery_category_popular
",guest,False,,,True,True,,0.0
575803724,1,0,"https://www.kickstarter.com/projects/1593102873/stickyisms-daily-doses-of-motivation-and-inspirati?ref=discovery_category_popular
",guest,False,comment_575803724.xml,37.0,True,True,,0.0
ndmdzn,1,0,"https://www.kickstarter.com/projects/ndmdzn/quickstarter-wall-x-e-wallet-x-earphones?ref=discovery_category_popular
",,,,,True,True,,0.0
991635238,1,0,"https://www.kickstarter.com/projects/1778635459/maine-hangars?ref=discovery_category_popular
",guest,False,comment_991635238.xml,37.0,True,True,,0.0
490629941,1,0,"https://www.kickstarter.com/projects/942584763/byourself-watches-luxury-neednt-be-expensive?ref=discovery_category_popular
",guest,False,,,True,True,,0.0
994394262,1,0,"https://www.kickstarter.com/projects/133339418/the-handle-wonder-covertm?ref=discovery_category_popular
",guest,False,comment_994394262.xml,37.0,True,True,,0.0
1955301269,1,0,"https://www.kickstarter.com/projects/believeinbarffus/believing-in-barffus?ref=discovery_category_popular
",guest,False,,,True,True,,0.0
markvargo,1,0,"https://www.kickstarter.com/projects/markvargo/monsterz-greeting-cards-and-stickers?ref=discovery_category_popular
",,,,,True,True,,0.0
10232390,1,0,"https://www.kickstarter.com/projects/mygaragebuild/kids-tree-house-bunk-beds?ref=discovery_category_popular
",guest,False,,,True,True,,0.0
179606360,1,0,"https://www.kickstarter.com/projects/magnawipe/magnawipe?ref=discovery_category_popular
",guest,False,,,True,True,,0.0
1143222220,1,0,"https://www.kickstarter.com/projects/636887556/oh-snap?ref=discovery_category_popular
",guest,False,,,True,True,,0.0
789789581,1,0,"https://www.kickstarter.com/projects/826135009/uhoh-childrens-bottle-leash?ref=discovery_category_popular
",guest,False,,,True,True,,0.0
2022357237,1,0,"https://www.kickstarter.com/projects/iwood/yewood-guard-simple-adaptable-wooden-mudguards-fen?ref=discovery_category_popular
",guest,False,,,True,True,,0.0
urbnsleaze,1,0,"https://www.kickstarter.com/projects/urbnsleaze/good-intentions-deck-for-manifesting-and-meditating?ref=discovery_category_popular
",,,,,True,True,,0.0
829855254,1,0,"https://www.kickstarter.com/projects/walkingfearless/theres-no-kerning-back-t-shirt?ref=discovery_category_popular
",guest,False,,,True,True,,0.0
530383382,1,0,"https://www.kickstarter.com/projects/kirk-wood/personalized-wooden-high-chair-for-kids?ref=discovery_category_popular
",guest,False,,,True,True,,0.0
1020998676,1,0,"https://www.kickstarter.com/projects/larissakama/the-sundialer-round-sunbathing-and-multi-purpose-m?ref=discovery_category_popular
",guest,False,,,True,True,,0.0
