Project_Nr,comments,withdrawn_comments,Link,source_laptop,reward_comment_xml,filename,filesize,bolScrapeAgain,downloaded,error_description,withdrawn_comments_new
957164761,1,0,"https://www.kickstarter.com/projects/1843427404/the-luminous-mind-podcast?ref=discovery_category_popular
",guest,False,,,True,True,,0.0
96623500,1,0,"https://www.kickstarter.com/projects/728802632/america-first-for-everyone?ref=discovery_category_popular
",guest,False,,,True,True,,0.0
971057960,1,0,"https://www.kickstarter.com/projects/971057960/illinois-energy-justice?ref=discovery_category_popular
",,,,,True,True,,0.0
1018423870,1,0,"https://www.kickstarter.com/projects/callmemaestro/college-radio-and-podcast-funding?ref=discovery_category_popular
",guest,False,,,True,True,,0.0
851438774,1,0,"https://www.kickstarter.com/projects/968893211/the-lyme-times-my-journey-to-find-a-cure-for-lyme?ref=discovery_category_popular
",guest,False,,,True,True,,0.0
yolksandspokes,1,0,"https://www.kickstarter.com/projects/yolksandspokes/yolks-and-spokes?ref=discovery_category_popular
",,,,,True,True,,0.0
1197658154,1,0,"https://www.kickstarter.com/projects/1146678017/one-mad-trucker-gaming-show?ref=discovery_category_popular
",guest,False,,,True,True,,0.0
968891394,1,0,"https://www.kickstarter.com/projects/968891394/take-magazine?ref=discovery_category_popular
",,,,,True,True,,0.0
1118369501,1,0,"https://www.kickstarter.com/projects/1467695836/uncovering-transnational-criminal-networks-worldwi?ref=discovery_category_popular
",guest,False,,,True,True,,0.0
epic50,1,0,"https://www.kickstarter.com/projects/epic50/epic-50-book?ref=discovery_category_popular
",,,,,True,True,,0.0
kalanitonga,1,0,"https://www.kickstarter.com/projects/kalanitonga/brave-pasifika-women-project?ref=discovery_category_popular
",,,,,True,True,,0.0
1111060584,1,0,"https://www.kickstarter.com/projects/adamtheveteran/support-veterans-with-ptsd-and-promote-a-travel-li?ref=discovery_category_popular
",guest,False,,,True,True,,0.0
1011287401,1,0,"https://www.kickstarter.com/projects/1011287401/frontier-town-then-and-now?ref=discovery_category_popular
",,,,,True,True,,0.0
whiteandbluereview,1,0,"https://www.kickstarter.com/projects/whiteandbluereview/2016-17-creighton-bluejays-sports-yearbook?ref=discovery_category_popular
",,,,,True,True,,0.0
