Project_Nr,comments,withdrawn_comments,Link,source_laptop,reward_comment_xml,filename,filesize,bolScrapeAgain,downloaded,error_description,withdrawn_comments_new
1753376763,1,0,"https://www.kickstarter.com/projects/danicakes/the-razor-ray-and-dani-cakes-show?ref=discovery_category_popular
",guest,False,,,True,True,,0.0
wta2edition,1,0,"https://www.kickstarter.com/projects/wta2edition/welcome-to-annwfn-second-edition?ref=discovery_category_popular
",,,,,True,True,,0.0
706137789,1,0,"https://www.kickstarter.com/projects/706137789/and-i-heard-the-sound-of-laughter?ref=discovery_category_popular
",,,,,True,True,,0.0
xanthealexis,1,0,"https://www.kickstarter.com/projects/xanthealexis/help-me-release-my-solo-album?ref=discovery_category_popular
",,,,,True,True,,0.0
713125408,1,0,"https://www.kickstarter.com/projects/713125408/help-last-in-line-get-to-new-york-city?ref=discovery_category_popular
",,,,,True,True,,0.0
467474683,1,0,"https://www.kickstarter.com/projects/1418073185/fank-unbranded-debut-album?ref=discovery_category_popular
",guest,False,,,True,True,,0.0
yaelisacaminos,1,0,"https://www.kickstarter.com/projects/yaelisacaminos/jason-mcguire-trio-tres-ratones-ciegos?ref=discovery_category_popular
",,,,,True,True,,0.0
464648466,1,0,"https://www.kickstarter.com/projects/464648466/after-40-years-musician-becomes-the-man-hes-suppos?ref=discovery_category_popular
",,,,,True,True,,0.0
4673615,1,0,"https://www.kickstarter.com/projects/bennyuhlich/wreck-the-machines-first-album?ref=discovery_category_popular
",guest,False,,,True,True,,0.0
1005742068,1,0,"https://www.kickstarter.com/projects/1005742068/icewaters-first-music-video?ref=discovery_category_popular
",,,,,True,True,,0.0
464162932,1,0,"https://www.kickstarter.com/projects/464162932/support-reem-kelanis-live-at-the-tabernacle-cd-alb?ref=discovery_category_popular
",,,,,True,True,,0.0
705669090,1,0,"https://www.kickstarter.com/projects/705669090/help-fund-hosts-full-length-album-last-night-of-go?ref=discovery_category_popular
",,,,,True,True,,0.0
2041584698,1,0,"https://www.kickstarter.com/projects/2041584698/free-shabazz-2?ref=discovery_category_popular
",,,,,True,True,,0.0
714114199,1,0,"https://www.kickstarter.com/projects/1525369013/milton-vanns-live-recording-project?ref=discovery_category_popular
",guest,False,,,True,True,,0.0
1007125880,1,0,"https://www.kickstarter.com/projects/923689489/were-finally-releasing-our-2nd-album-can-you-belie?ref=discovery_category_popular
",guest,False,,,True,True,,0.0
714205273,1,0,"https://www.kickstarter.com/projects/714205273/judy-wexlers-new-cd-what-i-see?ref=discovery_category_popular
",,,,,True,True,,0.0
2057289103,1,0,"https://www.kickstarter.com/projects/1790700676/gateway-0?ref=discovery_category_popular
",guest,False,,,True,True,,0.0
2041732499,1,0,"https://www.kickstarter.com/projects/495126094/sachas-first-vocal-ep?ref=discovery_category_popular
",guest,False,,,True,True,,0.0
1010725357,1,0,"https://www.kickstarter.com/projects/ronkemp/my-first-cd-gained-worldwide-recognition-im-excite?ref=discovery_category_popular
",guest,False,,,True,True,,0.0
wiwfamilies,1,0,"https://www.kickstarter.com/projects/wiwfamilies/the-word-in-worship-families?ref=discovery_category_popular
",,,,,True,True,,0.0
705251767,1,0,"https://www.kickstarter.com/projects/705251767/pole-barn-rebels-debut-cd?ref=discovery_category_popular
",,,,,True,True,,0.0
wkreth,1,0,"https://www.kickstarter.com/projects/wkreth/sierra-classic-sound-help-us-make-our-debut-album?ref=discovery_category_popular
",,,,,True,True,,0.0
712366997,1,0,"https://www.kickstarter.com/projects/ruthlessrep/modern-superstar-nothing-less-2013-2014-tour?ref=discovery_category_popular
",guest,False,,,True,True,,0.0
1009888779,1,0,"https://www.kickstarter.com/projects/1009888779/luney-alpha-ep?ref=discovery_category_popular
",,,,,True,True,,0.0
715021275,1,0,"https://www.kickstarter.com/projects/cera/cera-ep?ref=discovery_category_popular
",guest,False,,,True,True,,0.0
