Project_Nr,comments,withdrawn_comments,Link,source_laptop,reward_comment_xml,filename,filesize,bolScrapeAgain,downloaded,error_description,withdrawn_comments_new
1389667887,1,0,"https://www.kickstarter.com/projects/1389667887/die-welt-ist-mir-zu-viel?ref=discovery_category_popular
",,,,,True,True,,0.0
353573398,1,0,"https://www.kickstarter.com/projects/287467168/hug-a-stranger-capture-a-smile?ref=discovery_category_popular
",,,,,True,True,,0.0
406924276,1,0,"https://www.kickstarter.com/projects/1737012263/clouds-of-jacob-a-photo-journal-of-extraordinary-l?ref=discovery_category_popular
",,,,,True,True,,0.0
1788480922,1,0,"https://www.kickstarter.com/projects/815522800/a-calendar-of-my-cat?ref=discovery_category_popular
",,,,,True,True,,0.0
177317882,1,0,"https://www.kickstarter.com/projects/177317882/jewish-zarki-exhibition?ref=discovery_category_popular
",,,,,True,True,,0.0
506824314,1,0,"https://www.kickstarter.com/projects/1314672836/alone-and-unafraid-a-photographic-journey?ref=discovery_category_popular
",,,,,True,True,,0.0
1990827346,1,0,"https://www.kickstarter.com/projects/1990827346/2017-calendar?ref=discovery_category_popular
",,,,,True,True,,0.0
2004494811,1,0,"https://www.kickstarter.com/projects/2004494811/for-miles-and-miles-a-dreambikes-fundraiser?ref=discovery_category_popular
",,,,,True,True,,0.0
681468679,1,0,"https://www.kickstarter.com/projects/681468679/hey-girl-magazine-issue-2?ref=discovery_category_popular
",,,,,True,True,,0.0
2004166270,1,0,"https://www.kickstarter.com/projects/906908372/no-officers-were-injured-in-this-incident?ref=discovery_category_popular
",,,,,True,True,,0.0
1776646868,1,0,"https://www.kickstarter.com/projects/459927722/fearless-conference-in-bali?ref=discovery_category_popular
",guest,False,,,True,True,,0.0
1991259250,1,0,"https://www.kickstarter.com/projects/1675892477/premium-drone-photobook-handmade-in-switzerland?ref=discovery_category_popular
",,,,,True,True,,0.0
2001053099,1,0,"https://www.kickstarter.com/projects/2001053099/idaho-a-visual-journey-image-slideshow-and-wallpap?ref=discovery_category_popular
",,,,,True,True,,0.0
68049591,1,0,"https://www.kickstarter.com/projects/referencephotoset1/natural-history-museum-theme-reference-photos-set?ref=discovery_category_popular
",,,,,True,True,,0.0
177884965,1,0,"https://www.kickstarter.com/projects/177884965/lone-passage-a-coffee-table-book-by-austin-novy?ref=discovery_category_popular
",,,,,True,True,,0.0
1780884333,1,0,"https://www.kickstarter.com/projects/insightproject/insight-making-a-connection?ref=discovery_category_popular
",guest,False,,,True,True,,0.0
1999827140,1,0,"https://www.kickstarter.com/projects/jeffmarsh/old-film-project?ref=discovery_category_popular
",,,,,True,True,,0.0
686543564,1,0,"https://www.kickstarter.com/projects/basuraeniacmartinez/basura-eniac-martinez?ref=discovery_category_popular
",,,,,True,True,,0.0
687209324,1,0,"https://www.kickstarter.com/projects/687209324/stephanie-lyskawas-senior-and-portfolio-show?ref=discovery_category_popular
",,,,,True,True,,0.0
497528659,1,0,"https://www.kickstarter.com/projects/426241374/philadelphia-sports-fan-mural-fine-art-print-and-b?ref=discovery_category_popular
",,,,,True,True,,0.0
53196489,1,0,"https://www.kickstarter.com/projects/608878768/irelands-beauty?ref=discovery_category_popular
",,,,,True,True,,0.0
702363498,1,0,"https://www.kickstarter.com/projects/myapphoto/the-cyanotype-project-v20?ref=discovery_category_popular
",,,,,True,True,,0.0
530520280,1,0,"https://www.kickstarter.com/projects/710532235/visions-of-healing?ref=discovery_category_popular
",,,,,True,True,,0.0
70109096,1,0,"https://www.kickstarter.com/projects/1006138048/great-dixter-portrait-of-a-garden?ref=discovery_category_popular
",,,,,True,True,,0.0
1979811661,1,0,"https://www.kickstarter.com/projects/788190925/livre-photos-charlevoix-purs-paysages-pure-landsca?ref=discovery_category_popular
",,,,,True,True,,0.0
49995612,1,0,"https://www.kickstarter.com/projects/49995612/rip-mark-iii?ref=discovery_category_popular
",,,,,True,True,,0.0
2017091596,1,0,"https://www.kickstarter.com/projects/442770347/the-maleficent-project?ref=discovery_category_popular
",guest,False,,,True,True,,0.0
1755988212,1,0,"https://www.kickstarter.com/projects/1755988212/snapshots-of-the-west?ref=discovery_category_popular
",,,,,True,True,,0.0
1758663001,1,0,"https://www.kickstarter.com/projects/zhenderson/view-of-georgia-unsung-beauty-of-the-peach-state?ref=discovery_category_popular
",guest,False,,,True,True,,0.0
496870797,1,0,"https://www.kickstarter.com/projects/496870797/documenting-and-volunteering-in-costa-rica?ref=discovery_category_popular
",,,,,True,True,,0.0
705909693,1,0,"https://www.kickstarter.com/projects/961166576/the-average-ride?ref=discovery_category_popular
",,,,,True,True,,0.0
173938250,1,0,"https://www.kickstarter.com/projects/thebandbook2/elliott-landy-contacting-the-band?ref=discovery_category_popular
",,,,,True,True,,0.0
1971158237,1,0,"https://www.kickstarter.com/projects/1894501552/beyond-the-path?ref=discovery_category_popular
",guest,False,,,True,True,,0.0
711789682,1,0,"https://www.kickstarter.com/projects/formatt/bownd?ref=discovery_category_popular
",guest,False,,,True,True,,0.0
2044930669,1,0,"https://www.kickstarter.com/projects/303651061/ironwood-wolves?ref=discovery_category_popular
",,,,,True,True,,0.0
1581233348,1,0,"https://www.kickstarter.com/projects/1581233348/daniela-groza-queer-beauty?ref=discovery_category_popular
",,,,,True,True,,0.0
534877211,1,0,"https://www.kickstarter.com/projects/1549096335/drones-of-the-sky-photography-lobbyist?ref=discovery_category_popular
",hiwi,False,comment_534877211.xml,37.0,True,True,,0.0
1740310757,1,0,"https://www.kickstarter.com/projects/330548892/crusin-beauties-2015-calendar?ref=discovery_category_popular
",,,,,True,True,,0.0
483173088,1,0,"https://www.kickstarter.com/projects/414411094/capture-nature?ref=discovery_category_popular
",,,,,True,True,,0.0
664790138,1,0,"https://www.kickstarter.com/projects/664790138/bad-faith-photography-book-by-lorena-turner-0?ref=discovery_category_popular
",,,,,True,True,,0.0
486734283,1,0,"https://www.kickstarter.com/projects/486734283/the-great-north-american-albumen-tour-2018?ref=discovery_category_popular
",,,,,True,True,,0.0
1795136460,1,0,"https://www.kickstarter.com/projects/1681207392/graffiti-a-view-of-the-world-through-street-art?ref=discovery_category_popular
",guest,False,comment_1795136460.xml,37.0,True,True,,0.0
1974659446,1,0,"https://www.kickstarter.com/projects/517331546/american-dark-skies?ref=discovery_category_popular
",,,,,True,True,,0.0
2028973369,1,0,"https://www.kickstarter.com/projects/306396292/dream-photography-honeymoon-in-ireland?ref=discovery_category_popular
",guest,False,comment_2028973369.xml,37.0,True,True,,0.0
2047405139,1,0,"https://www.kickstarter.com/projects/2047405139/soul-rebel-vintages-west-coast-coast-with-foxes-an?ref=discovery_category_popular
",,,,,True,True,,0.0
1958388307,1,0,"https://www.kickstarter.com/projects/1664595902/forbidden-lands?ref=discovery_category_popular
",guest,False,comment_1958388307.xml,37.0,True,True,,0.0
172998510,1,0,"https://www.kickstarter.com/projects/2012582570/through-dantes-eyes?ref=discovery_category_popular
",,,,,True,True,,0.0
1718321000,1,0,"https://www.kickstarter.com/projects/1663896303/appalachian-trail-photography-trek?ref=discovery_category_popular
",,,,,True,True,,0.0
1961558771,1,0,"https://www.kickstarter.com/projects/1961558771/tintype-camera-build?ref=discovery_category_popular
",,,,,True,True,,0.0
2065166474,1,0,"https://www.kickstarter.com/projects/2076211256/bakken-drone-project?ref=discovery_category_popular
",guest,False,comment_2065166474.xml,37.0,True,True,,0.0
1719167609,1,0,"https://www.kickstarter.com/projects/jdstheking/model-and-photographer-collab-website?ref=discovery_category_popular
",,,,,True,True,,0.0
1804679740,1,0,"https://www.kickstarter.com/projects/1849375783/sculptured-sunrays?ref=discovery_category_popular
",guest,False,,,True,True,,0.0
1966427074,1,0,"https://www.kickstarter.com/projects/215360874/japan-1822-2016-in-the-footsteps-of-hiroshige?ref=discovery_category_popular
",guest,False,,,True,True,,0.0
173084073,1,0,"https://www.kickstarter.com/projects/1652462985/halloween-haiku?ref=discovery_category_popular
",guest,False,,,True,True,,0.0
1803150194,1,0,"https://www.kickstarter.com/projects/1599329668/great-lakes-lighthouses-keeping-the-past-in-our-fu?ref=discovery_category_popular
",,,,,True,True,,0.0
2056975600,1,0,"https://www.kickstarter.com/projects/2056975600/england-to-asia-alex-stevenson?ref=discovery_category_popular
",,,,,True,True,,0.0
1804581881,1,0,"https://www.kickstarter.com/projects/2114931533/my-traveling-camera?ref=discovery_category_popular
",,,,,True,True,,0.0
2055747464,1,0,"https://www.kickstarter.com/projects/1622056381/images-from-a-small-island-photography-book?ref=discovery_category_popular
",,,,,True,True,,0.0
1803429333,1,0,"https://www.kickstarter.com/projects/1803429333/running-to-the-end-of-the-world?ref=discovery_category_popular
",,,,,True,True,,0.0
205314134,1,0,"https://www.kickstarter.com/projects/davidmcintyre/broadway-like-a-river-flows?ref=discovery_category_popular
",guest,False,,,True,True,,0.0
2045177903,1,0,"https://www.kickstarter.com/projects/2045177903/patrick-and-bo-head-west?ref=discovery_category_popular
",,,,,True,True,,0.0
71391711,1,0,"https://www.kickstarter.com/projects/71391711/solesearch-the-continental-divide-trail?ref=discovery_category_popular
",,,,,True,True,,0.0
1792515237,1,0,"https://www.kickstarter.com/projects/1792515237/the-ada-image-project?ref=discovery_category_popular
",,,,,True,True,,0.0
1762588653,1,0,"https://www.kickstarter.com/projects/182983229/discover-the-owyhees-the-grand-canyon-of-the-north?ref=discovery_category_popular
",,,,,True,True,,0.0
1678290984,1,0,"https://www.kickstarter.com/projects/chrisxmoody/america-unseen?ref=discovery_category_popular
",,,,,True,True,,0.0
566819864,1,0,"https://www.kickstarter.com/projects/566819864/reality-reveiled?ref=discovery_category_popular
",,,,,True,True,,0.0
212992428,1,0,"https://www.kickstarter.com/projects/1468389582/native-faces?ref=discovery_category_popular
",guest,False,,,True,True,,0.0
762290978,1,0,"https://www.kickstarter.com/projects/ohny/seeing-the-city-open-house-new-york-weekend-in-pho?ref=discovery_category_popular
",,,,,True,True,,0.0
1678707524,1,0,"https://www.kickstarter.com/projects/1678707524/a-youth-mind-project-south-east-asia?ref=discovery_category_popular
",,,,,True,True,,0.0
17833756,1,0,"https://www.kickstarter.com/projects/drivingadventures/car-ride-adventures-in-oregon-childrens-book?ref=discovery_category_popular
",,,,,True,True,,0.0
2128162755,1,0,"https://www.kickstarter.com/projects/1583495536/kenema?ref=discovery_category_popular
",,,,,True,True,,0.0
212735128,1,0,"https://www.kickstarter.com/projects/1677194875/environmental-awareness-fine-art-exhibition-by-eik?ref=discovery_category_popular
",guest,False,,,True,True,,0.0
753241661,1,0,"https://www.kickstarter.com/projects/1214877521/lovedrafts-the-final-expansion?ref=discovery_category_popular
",guest,False,,,True,True,,0.0
1694685126,1,0,"https://www.kickstarter.com/projects/1694685126/save-the-arabian-leopard?ref=discovery_category_popular
",,,,,True,True,,0.0
734537794,1,0,"https://www.kickstarter.com/projects/fu45/show-donald-trump-how-you-feel-about-him-with-one?ref=discovery_category_popular
",guest,False,,,True,True,,0.0
1708988053,1,0,"https://www.kickstarter.com/projects/663473796/roaming-couch?ref=discovery_category_popular
",guest,False,,,True,True,,0.0
2085103301,1,0,"https://www.kickstarter.com/projects/2085103301/brave-or-beautiful?ref=discovery_category_popular
",,,,,True,True,,0.0
2083091214,1,0,"https://www.kickstarter.com/projects/2083091214/skin-tones-a-portrait-photography-art-book?ref=discovery_category_popular
",,,,,True,True,,0.0
2081367274,1,0,"https://www.kickstarter.com/projects/301892365/baltimore-graffiti?ref=discovery_category_popular
",,,,,True,True,,0.0
1814997590,1,0,"https://www.kickstarter.com/projects/1751037517/a-home-of-our-own-tucsons-mid-century-homes-then-a?ref=discovery_category_popular
",,,,,True,True,,0.0
455914588,1,0,"https://www.kickstarter.com/projects/1593084380/the-sierra-railway-photography-project?ref=discovery_category_popular
",guest,False,,,True,True,,0.0
654440544,1,0,"https://www.kickstarter.com/projects/2066133663/an-iranian-journey?ref=discovery_category_popular
",,,,,True,True,,0.0
1956148923,1,0,"https://www.kickstarter.com/projects/1956148923/the-bridger-mountains-aerial-photo-catalog?ref=discovery_category_popular
",,,,,True,True,,0.0
1695798710,1,0,"https://www.kickstarter.com/projects/1138918683/the-wonderful-world-of-princes-and-princesses?ref=discovery_category_popular
",guest,False,,,True,True,,0.0
1812330038,1,0,"https://www.kickstarter.com/projects/1438247785/an-anthology-of-sinners-mc-c-1965-edmonton-alberta?ref=discovery_category_popular
",guest,False,,,True,True,,0.0
1812056311,1,0,"https://www.kickstarter.com/projects/915211837/ville-dimenticate-forgotten-mansions-photobook-20x?ref=discovery_category_popular
",,,,,True,True,,0.0
463684261,1,0,"https://www.kickstarter.com/projects/112657285/christmas-cards-calendars-and-canvas-prints?ref=discovery_category_popular
",,,,,True,True,,0.0
1713505646,1,0,"https://www.kickstarter.com/projects/870830068/portraits-of-emunah?ref=discovery_category_popular
",,,,,True,True,,0.0
731859838,1,0,"https://www.kickstarter.com/projects/1684993958/blood-sweat-and-tears-photobook?ref=discovery_category_popular
",,,,,True,True,,0.0
1713927886,1,0,"https://www.kickstarter.com/projects/779481618/selfies-for-my-bitch?ref=discovery_category_popular
",,,,,True,True,,0.0
1809690897,1,0,"https://www.kickstarter.com/projects/1970193829/majestic-and-magical-come-explore-the-nature-isle?ref=discovery_category_popular
",,,,,True,True,,0.0
1676782630,1,0,"https://www.kickstarter.com/projects/2086701450/the-dreadful-mind-horror-photobook-vol1?ref=discovery_category_popular
",guest,False,,,True,True,,0.0
41216714,1,0,"https://www.kickstarter.com/projects/41216714/echoes-of-light-a-memoir-of-travel-and-people?ref=discovery_category_popular
",,,,,True,True,,0.0
1935576127,1,0,"https://www.kickstarter.com/projects/927627533/the-de-novo-collection?ref=discovery_category_popular
",,,,,True,True,,0.0
409903626,1,0,"https://www.kickstarter.com/projects/meetyouthere/meet-you-there-around-the-world-travel-photography?ref=discovery_category_popular
",,,,,True,True,,0.0
673486316,1,0,"https://www.kickstarter.com/projects/673486316/the-spirit-of-dance?ref=discovery_category_popular
",,,,,True,True,,0.0
1717617137,1,0,"https://www.kickstarter.com/projects/1717617137/motivation-letter-through-the-alps?ref=discovery_category_popular
",,,,,True,True,,0.0
464630882,1,0,"https://www.kickstarter.com/projects/435639731/my-cat-only-drinks-from-the-sink-help?ref=discovery_category_popular
",,,,,True,True,,0.0
1717297235,1,0,"https://www.kickstarter.com/projects/1717297235/gunnar-conrad-2016-fine-art-calendar-of-natue-imag?ref=discovery_category_popular
",,,,,True,True,,0.0
560328871,1,0,"https://www.kickstarter.com/projects/1363173392/greatest-galaxys-a-photobook-with-beautiful-space?ref=discovery_category_popular
",,,,,True,True,,0.0
758742468,1,0,"https://www.kickstarter.com/projects/1679700647/seascape-impressions-seascapes-of-the-pacific?ref=discovery_category_popular
",,,,,True,True,,0.0
563490357,1,0,"https://www.kickstarter.com/projects/205297003/kissing-world-monuments-photobook-project?ref=discovery_category_popular
",guest,False,comment_563490357.xml,37.0,True,True,,0.0
421917098,1,0,"https://www.kickstarter.com/projects/beingblindproject/being-blind-the-book-about-a-different-reality?ref=discovery_category_popular
",,,,,True,True,,0.0
1828332996,1,0,"https://www.kickstarter.com/projects/1745980367/aspiring-storyteller-connecting-the-dots?ref=discovery_category_popular
",guest,False,,,True,True,,0.0
1828026144,1,0,"https://www.kickstarter.com/projects/1123635639/sky-blue-sky-the-most-expenive-photograph-ever-sol?ref=discovery_category_popular
",guest,False,,,True,True,,0.0
430341164,1,0,"https://www.kickstarter.com/projects/430341164/support-mind?ref=discovery_category_popular
",,,,,True,True,,0.0
757917747,1,0,"https://www.kickstarter.com/projects/kryder/behind-the-mask-0?ref=discovery_category_popular
",guest,False,,,True,True,,0.0
2112355776,1,0,"https://www.kickstarter.com/projects/438423129/99-faces-photobook-make-100?ref=discovery_category_popular
",,,,,True,True,,0.0
1690632409,1,0,"https://www.kickstarter.com/projects/1923299871/planet-venus?ref=discovery_category_popular
",guest,False,,,True,True,,0.0
641589322,1,0,"https://www.kickstarter.com/projects/641589322/after-the-fall?ref=discovery_category_popular
",,,,,True,True,,0.0
