Project_Nr,comments,withdrawn_comments,Link,source_laptop,reward_comment_xml,filename,filesize,bolScrapeAgain,downloaded,error_description,withdrawn_comments_new
aspoonfulofsugar,1,0,"https://www.kickstarter.com/projects/aspoonfulofsugar/a-spoonful-of-sugar-0?ref=discovery_category_popular
",,,,,True,True,,0.0
383326691,1,0,"https://www.kickstarter.com/projects/383326691/the-world-is-a-theater-di-velt-is-a-teater?ref=discovery_category_popular
",,,,,True,True,,0.0
375491873,1,0,"https://www.kickstarter.com/projects/1661272748/help-us-to-take-punching-judy-from-nottingham-to-e?ref=discovery_category_popular
",guest,False,,,True,True,,0.0
391717758,1,0,"https://www.kickstarter.com/projects/391717758/switch-witchetty-goes-to-edinburgh-festival-fringe?ref=discovery_category_popular
",,,,,True,False,no react-project-comments,
392257269,1,0,"https://www.kickstarter.com/projects/392257269/play-date-an-immersive-theatrical-nighclub-experie?ref=discovery_category_popular
",,,,,True,True,,1.0
395391231,1,0,"https://www.kickstarter.com/projects/1398982809/various-unfortunate-deaths-of-tabbott-and-rue-doch?ref=discovery_category_popular
",guest,False,,,True,False,no react-project-comments,
36092936,1,0,"https://www.kickstarter.com/projects/207630073/equipemos-murmurante-teatro?ref=discovery_category_popular
",guest,False,,,True,True,,0.0
360443414,1,0,"https://www.kickstarter.com/projects/tylerbryce/one-man-many-voices-help-fund-tylers-1st-season-in?ref=discovery_category_popular
",guest,False,,,True,False,no react-project-comments,
355847886,1,0,"https://www.kickstarter.com/projects/dutchy/duke-dutchy-presents-the-virginia-city-all-nighter?ref=discovery_category_popular
",guest,False,,,True,False,no react-project-comments,
355688550,1,0,"https://www.kickstarter.com/projects/355688550/roughly-speaking-voices-from-the-soup-kitchen?ref=discovery_category_popular
",,,,,True,False,no react-project-comments,
403435550,1,0,"https://www.kickstarter.com/projects/403435550/the-living-library-0?ref=discovery_category_popular
",,,,,True,False,no react-project-comments,
405230512,1,0,"https://www.kickstarter.com/projects/savethestage/save-the-stage?ref=discovery_category_popular
",guest,False,,,True,True,,0.0
350633455,1,0,"https://www.kickstarter.com/projects/350633455/professional-play-reading-the-crusade-of-connor-st?ref=discovery_category_popular
",,,,,True,False,no react-project-comments,
410946939,1,0,"https://www.kickstarter.com/projects/410946939/the-ruby-darlings-show?ref=discovery_category_popular
",,,,,True,True,,0.0
340547345,1,0,"https://www.kickstarter.com/projects/roundtableca/roundtable-theatrical-presents-a-chorus-line?ref=discovery_category_popular
",guest,False,,,True,False,no react-project-comments,
249197860,1,0,"https://www.kickstarter.com/projects/249197860/macblair-at-the-edinburgh-festival?ref=discovery_category_popular
",,,,,True,False,no react-project-comments,
312364175,1,0,"https://www.kickstarter.com/projects/genesislove/support-rds-5oo-red-dot-studios-new-multi-use-art-space?ref=discovery_category_popular
",guest,False,,,True,False,no react-project-comments,
