Project_Nr,comments,withdrawn_comments,Link,source_laptop,reward_comment_xml,filename,filesize,bolScrapeAgain,downloaded,error_description,withdrawn_comments_new
301974156,1,0,"https://www.kickstarter.com/projects/693277170/wendigo-part-ii?ref=discovery_category_popular
",sven,False,comment_301974156.xml,37.0,True,True,,0.0
1755001349,1,0,"https://www.kickstarter.com/projects/889376849/accidental-satanism?ref=discovery_category_popular
",guest,False,comment_1755001349.xml,37.0,True,True,,0.0
977673230,1,0,"https://www.kickstarter.com/projects/369171998/help-launch-innocence-abandoned-the-monaco-film-fe-0?ref=discovery_category_popular
",guest,False,comment_977673230.xml,37.0,True,True,,0.0
408163624,1,0,"https://www.kickstarter.com/projects/tribulationfilm/tribulation-christian-action-short-film?ref=discovery_category_popular
",serverhimself,False,comment_408163624.xml,37.0,True,True,,0.0
1188380351,1,0,https://www.kickstarter.com/projects/tbc/k-0?ref=discovery_category_popular,,,comment_1188380351.xml,37.0,True,True,,0.0
302047168,1,0,"https://www.kickstarter.com/projects/653907570/my-sons-first-everything?ref=discovery_category_popular
",guest,False,comment_302047168.xml,37.0,True,True,,0.0
977076168,1,0,"https://www.kickstarter.com/projects/surface2018/youre-it?ref=discovery_category_popular
",,,comment_977076168.xml,37.0,True,True,,0.0
294034318,1,0,https://www.kickstarter.com/projects/187569692/entrepreneurs-of-baltimore-llc?ref=discovery_category_popular,,,comment_294034318.xml,37.0,True,True,,0.0
spflores_0,1,0,"https://www.kickstarter.com/projects/spflores/margot-the-short-film?ref=discovery_category_popular
",,,comment_spflores_0.xml,37.0,True,True,,0.0
860221173,1,0,"https://www.kickstarter.com/projects/860221173/nico-a-short-film-written-by-chris-brown-and-scott?ref=discovery_category_popular
",,,comment_860221173.xml,37.0,True,True,,0.0
987201507,1,0,"https://www.kickstarter.com/projects/987201507/beards-a-satire-of-follicular-proportions?ref=discovery_category_popular
",,,comment_987201507.xml,37.0,True,True,,0.0
843892103,1,0,https://www.kickstarter.com/projects/liquidfusion/liquid-fusion-r-indie-label-needs-new-video-camera?ref=discovery_category_popular,,,comment_843892103.xml,37.0,True,True,,0.0
408866700,1,0,"https://www.kickstarter.com/projects/southernbelleseries/southern-belle-series?ref=discovery_category_popular
",guest,False,comment_408866700.xml,37.0,True,True,,0.0
1755359613,1,0,https://www.kickstarter.com/projects/72982827/stockholm-santa-a-short-film-by-sammi-stephans?ref=discovery_category_popular,guest,False,comment_1755359613.xml,37.0,True,True,,0.0
1735934301,1,0,"https://www.kickstarter.com/projects/203521828/living-in-ferguson?ref=discovery_category_popular
",,,comment_1735934301.xml,37.0,True,True,,0.0
1736683349,1,0,"https://www.kickstarter.com/projects/Luis-Aponte/gas-prices-a-love-story?ref=discovery_category_popular
",sven,False,comment_1736683349.xml,37.0,True,True,,0.0
1547391023,1,0,"https://www.kickstarter.com/projects/771005746/ride-share?ref=discovery_category_popular
",,,comment_1547391023.xml,37.0,True,True,,0.0
508469517,1,0,"https://www.kickstarter.com/projects/508469517/familiar-short-film?ref=discovery_category_popular
",,,comment_508469517.xml,37.0,True,True,,0.0
432132756,1,0,"https://www.kickstarter.com/projects/432132756/market-of-faith-a-documentary-film?ref=discovery_category_popular
",,,comment_432132756.xml,37.0,True,True,,0.0
1072832224,1,0,https://www.kickstarter.com/projects/mynameismulan/my-name-is-mulan-season-one?ref=discovery_category_popular,guest,False,comment_1072832224.xml,37.0,True,True,,0.0
297846769,1,0,"https://www.kickstarter.com/projects/heartfeltanimation/the-red-letter-words-animated-series?ref=discovery_category_popular
",guest,False,comment_297846769.xml,37.0,True,True,,0.0
1081566004,1,0,"https://www.kickstarter.com/projects/2084556648/the-survivor?ref=discovery_category_popular
",guest,False,comment_1081566004.xml,37.0,True,True,,0.0
1546299860,1,0,"https://www.kickstarter.com/projects/2026192128/assyrian-tribulation?ref=discovery_category_popular
",,,comment_1546299860.xml,37.0,True,True,,0.0
1755756099,1,0,"https://www.kickstarter.com/projects/604050895/le-crane-du-dragon-maudit-ii?ref=discovery_category_popular
",sven,False,comment_1755756099.xml,37.0,True,True,,0.0
434068999,1,0,"https://www.kickstarter.com/projects/434068999/first-heartbeat-a-film-about-miscarriage?ref=discovery_category_popular
",,,comment_434068999.xml,37.0,True,True,,0.0
290797501,1,0,"https://www.kickstarter.com/projects/427929011/against-his-will?ref=discovery_category_popular
",,,comment_290797501.xml,37.0,True,True,,0.0
