Project_Nr,comments,withdrawn_comments,Link,source_laptop,reward_comment_xml,filename,filesize,bolScrapeAgain,downloaded,error_description,withdrawn_comments_new
1453507669,40,0,"https://www.kickstarter.com/projects/1453507669/europes-first-gender-neutral-community-dance-studi?ref=discovery_category_popular
",,,comment_1453507669.xml,13909.0,True,False,,
1875675884,34,0,"https://www.kickstarter.com/projects/1875675884/dungeons-and-dancers-an-epic-belly-dance-adventure?ref=discovery_category_popular
",,,comment_1875675884.xml,37.0,True,False,,
64407236,25,0,"https://www.kickstarter.com/projects/64407236/kung-flow-download-legendary-lightsaber-skills?ref=discovery_category_popular
",,,comment_64407236.xml,37.0,True,False,,
londonburlesquefest_0,16,0,"https://www.kickstarter.com/projects/londonburlesquefest/2020-london-burlesque-festival-online-edition?ref=discovery_category_popular
",,,comment_londonburlesquefest_0.xml,37.0,True,False,,
363821638,13,0,"https://www.kickstarter.com/projects/363821638/move-the-muse-brooklyn-circus?ref=discovery_category_popular
",,,comment_363821638.xml,37.0,True,False,,
671037979,12,0,"https://www.kickstarter.com/projects/671037979/expand-the-dollhouse-a-space-for-art-dance-and-cul?ref=discovery_category_popular
",,,comment_671037979.xml,37.0,True,False,,
flyingcurves2014,10,0,"https://www.kickstarter.com/projects/flyingcurves2014/flying-curves-pole-dance-studio-goddesses-empowere?ref=discovery_category_popular
",,,comment_flyingcurves2014.xml,37.0,True,False,,
1402096295,9,0,"https://www.kickstarter.com/projects/1402096295/mmdc-and-project-44-wearemakingashow?ref=discovery_category_popular
",,,comment_1402096295.xml,37.0,True,False,,
marthagraham,9,0,"https://www.kickstarter.com/projects/marthagraham/lamentation-variations?ref=discovery_category_popular
",,,comment_marthagraham.xml,37.0,True,False,,
515985446,8,0,"https://www.kickstarter.com/projects/515985446/the-history-of-black-dance-in-america-0?ref=discovery_category_popular
",,,comment_515985446.xml,37.0,True,False,,
2134253353,8,0,"https://www.kickstarter.com/projects/2134253353/mindfluctuations-world-premiere-by-mwdcco?ref=discovery_category_popular
",,,comment_2134253353.xml,37.0,True,False,,
heididuckler,8,0,"https://www.kickstarter.com/projects/heididuckler/heidi-duckler-dance-theater-presents-sia-kara?ref=discovery_category_popular
",,,comment_heididuckler.xml,37.0,True,False,,
1698764507,7,0,"https://www.kickstarter.com/projects/1698764507/it-is-time-to-introduce-ava-dance-company-to-the-w?ref=discovery_category_popular
",,,comment_1698764507.xml,37.0,True,False,,
1484509067,7,0,"https://www.kickstarter.com/projects/1484509067/finally-a-vodca-family-dvd?ref=discovery_category_popular
",,,comment_1484509067.xml,37.0,True,False,,
1842694941,6,0,"https://www.kickstarter.com/projects/247231702/two-generations-of-russian-ballet-stars-in-gala-us?ref=discovery_category_popular
",guest,False,comment_1842694941.xml,37.0,True,False,,
334878669,6,0,"https://www.kickstarter.com/projects/334878669/bringing-grace-power-and-play-to-syrian-refugee-yo?ref=discovery_category_popular
",,,comment_334878669.xml,37.0,True,False,,
ontheboards,6,0,"https://www.kickstarter.com/projects/ontheboards/60-performances-57-artists-one-channel-ontheboards?ref=discovery_category_popular
",,,comment_ontheboards.xml,37.0,True,False,,
johannaxenobia,6,0,"https://www.kickstarter.com/projects/johannaxenobia/bathroom-for-belly-dancers-studio-space-and-more?ref=discovery_category_popular
",,,comment_johannaxenobia.xml,37.0,True,False,,
1228823511,6,0,"https://www.kickstarter.com/projects/1228823511/aeroskools-national-championship-lets-get-them-the?ref=discovery_category_popular
",,,comment_1228823511.xml,37.0,True,False,,
875685665,6,0,"https://www.kickstarter.com/projects/875685665/work-that-skirt-ats-style-dvd?ref=discovery_category_popular
",,,comment_875685665.xml,37.0,True,False,,
423485426,6,0,"https://www.kickstarter.com/projects/423485426/skn-a-multi-faceted-performance-about-human-traffi?ref=discovery_category_popular
",,,comment_423485426.xml,37.0,True,False,,
adm21,6,0,"https://www.kickstarter.com/projects/adm21/save-a-dance?ref=discovery_category_popular
",,,comment_adm21.xml,37.0,True,False,,
stewartowendance,5,0,"https://www.kickstarter.com/projects/stewartowendance/stewart-owen-dance-on-the-road?ref=discovery_category_popular
",,,comment_stewartowendance.xml,37.0,True,False,,
1064682253,5,0,"https://www.kickstarter.com/projects/1064682253/help-the-puzzle-league-open-a-dance-studio?ref=discovery_category_popular
",,,comment_1064682253.xml,37.0,True,False,,
1407600910,5,0,"https://www.kickstarter.com/projects/1407600910/azonto-festival-raising-hiv-awareness-through-danc?ref=discovery_category_popular
",,,comment_1407600910.xml,37.0,True,False,,
742133024,5,0,"https://www.kickstarter.com/projects/742133024/devaneio?ref=discovery_category_popular
",,,comment_742133024.xml,37.0,True,False,,
londonburlesquefest,5,0,"https://www.kickstarter.com/projects/londonburlesquefest/help-london-burlesque-festival-survive?ref=discovery_category_popular
",,,comment_londonburlesquefest.xml,37.0,True,False,,
481340340,5,0,"https://www.kickstarter.com/projects/894090549/support-pole-to-pole-fitness-main-street-expansion?ref=discovery_category_popular
",guest,False,comment_481340340.xml,37.0,True,False,,
189848352,5,0,"https://www.kickstarter.com/projects/189848352/reach-bc-dance-company-premieres-its-about-love?ref=discovery_category_popular
",,,comment_189848352.xml,37.0,True,False,,
585279457,5,0,"https://www.kickstarter.com/projects/585279457/help-fund-venue-for-verve-dance-series-volume-i?ref=discovery_category_popular
",,,comment_585279457.xml,37.0,True,False,,
2128061193,4,0,"https://www.kickstarter.com/projects/2128061193/block-1750-a-community-center?ref=discovery_category_popular
",,,comment_2128061193.xml,37.0,True,False,,
1911950643,4,0,"https://www.kickstarter.com/projects/1911950643/half-and-halves-californias-punjabi-mexican-commun?ref=discovery_category_popular
",,,comment_1911950643.xml,37.0,True,False,,
1959828453,4,0,"https://www.kickstarter.com/projects/1959828453/fuora-dance-project-it-is-time-to-meet-us?ref=discovery_category_popular
",,,comment_1959828453.xml,37.0,True,False,,
1140543784,4,0,"https://www.kickstarter.com/projects/1140543784/the-trees-of-govalle-forklift-danceworks?ref=discovery_category_popular
",,,comment_1140543784.xml,37.0,True,False,,
180695797,4,0,"https://www.kickstarter.com/projects/180695797/enter-the-cave?ref=discovery_category_popular
",,,comment_180695797.xml,37.0,True,False,,
2075593768,4,0,"https://www.kickstarter.com/projects/2075593768/help-lux-performance-arts-find-a-new-home?ref=discovery_category_popular
",,,comment_2075593768.xml,37.0,True,False,,
764091201,4,0,"https://www.kickstarter.com/projects/235504885/me-and-u-childrens-fitness-academy?ref=discovery_category_popular
",guest,False,comment_764091201.xml,37.0,True,False,,
brooklynballet_2,4,0,"https://www.kickstarter.com/projects/brooklynballet/the-brooklyn-nutcracker-at-kings-theatre?ref=discovery_category_popular
",,,comment_brooklynballet_2.xml,37.0,True,False,,
1571646663,4,0,"https://www.kickstarter.com/projects/1571646663/the-farm-to-ballet-project?ref=discovery_category_popular
",,,comment_1571646663.xml,37.0,True,False,,
bendybeastfitness,4,0,"https://www.kickstarter.com/projects/bendybeastfitness/bendy-beast-fitness-building-our-home-for-years-to-come?ref=discovery_category_popular
",,,comment_bendybeastfitness.xml,37.0,True,False,,
zlfl,4,0,"https://www.kickstarter.com/projects/zlfl/kickstartsafe?ref=discovery_category_popular
",,,comment_zlfl.xml,37.0,True,False,,
447327732,4,0,"https://www.kickstarter.com/projects/447327732/seymour-dancecollective-based?ref=discovery_category_popular
",,,comment_447327732.xml,37.0,True,False,,
55788835,3,0,"https://www.kickstarter.com/projects/55788835/201-dance-companys-smother-help-us-get-to-edinburg?ref=discovery_category_popular
",,,comment_55788835.xml,37.0,True,False,,
114953457,3,0,"https://www.kickstarter.com/projects/danzas2019est/danzas-estacionales-seasonal-dances?ref=discovery_category_popular
",guest,False,comment_114953457.xml,37.0,True,False,,
goranajrperformance,3,0,"https://www.kickstarter.com/projects/goranajrperformance/gorana-jr-bulgarian-dance-ensemble-to-perform-in-c?ref=discovery_category_popular
",,,comment_goranajrperformance.xml,37.0,True,False,,
1351042250,3,0,"https://www.kickstarter.com/projects/1351042250/balletlorents-snow-white-young-cast-project?ref=discovery_category_popular
",,,comment_1351042250.xml,37.0,True,False,,
hands-in-glove,3,0,"https://www.kickstarter.com/projects/hands-in-glove/hand-in-glove-a-performed-exhibition-of-costume-an?ref=discovery_category_popular
",,,comment_hands-in-glove.xml,37.0,True,False,,
dtfredericksburg,3,0,"https://www.kickstarter.com/projects/dtfredericksburg/dance-trance-fredericksburg-breaking-ground?ref=discovery_category_popular
",,,comment_dtfredericksburg.xml,37.0,True,False,,
1476172485,3,0,"https://www.kickstarter.com/projects/851629756/pick-a-card-a-burlesque-exploration-of-tarot?ref=discovery_category_popular
",guest,False,comment_1476172485.xml,37.0,True,False,,
