Project_Nr,comments,withdrawn_comments,Link,source_laptop,reward_comment_xml,filename,filesize,bolScrapeAgain,downloaded,error_description,withdrawn_comments_new
baubax,5109,0,"https://www.kickstarter.com/projects/baubax/the-worlds-best-travel-jacket-with-25-features-bau?ref=discovery_category_popular
",,,,,True,False,,
168282293,2596,0,"https://www.kickstarter.com/projects/168282293/lisa-frank-makeup-collaboration?ref=discovery_category_popular
",,,,,True,False,,
acemarks,2214,0,"https://www.kickstarter.com/projects/acemarks/handcrafted-dress-shoes-reinvented-for-the-modern?ref=discovery_category_popular
",,,,,True,False,,
aquanautia,1515,0,"https://www.kickstarter.com/projects/aquanautia/the-worlds-best-shorts-with-a-waterproof-pocket-aq?ref=discovery_category_popular
",,,,,True,False,,
magzook,1407,0,"https://www.kickstarter.com/projects/magzook/magbelt-a-magnetic-belt-that-fits-perfectly-to-you?ref=discovery_category_popular
",,,,,True,False,,
1840198615,1381,0,"https://www.kickstarter.com/projects/1840198615/nakefit?ref=discovery_category_popular
",,,,,True,False,,
306180593,1360,0,"https://www.kickstarter.com/projects/306180593/the-sunglasses-that-will-change-the-business-forev?ref=discovery_category_popular
",,,,,True,False,,
adv3nturehoodie,1172,0,"https://www.kickstarter.com/projects/adv3nturehoodie/adv3nture-jackets?ref=discovery_category_popular
",,,,,True,False,,
1475563356,1105,0,"https://www.kickstarter.com/projects/1475563356/the-forever-og-pants-lifetime-quality-without-the?ref=discovery_category_popular
",,,,,True,False,,
wiivv,1080,0,"https://www.kickstarter.com/projects/wiivv/wiivv-custom-fit-sandals?ref=discovery_category_popular
",,,,,True,False,,
gtgwatches,1079,0,"https://www.kickstarter.com/projects/gtgwatches/the-greenwich-time-gate-watch-24-hours-automatic-m?ref=discovery_category_popular
",,,,,True,False,,
1743565867,1027,0,"https://www.kickstarter.com/projects/1743565867/iconic-danish-watch-design-for-a-better-world-by-n?ref=discovery_category_popular
",,,,,True,False,,
jakehimself,1021,0,"https://www.kickstarter.com/projects/jakehimself/the-10-year-hoodie-built-for-life-backed-for-a-dec?ref=discovery_category_popular
",,,,,True,False,,
257670560,982,0,"https://www.kickstarter.com/projects/257670560/bobby-bizz-the-best-business-briefcase-and-backpac?ref=discovery_category_popular
",,,,,True,False,,
755137212,964,0,"https://www.kickstarter.com/projects/755137212/wool-cross-x-the-worlds-most-comfortable-wool-spor?ref=discovery_category_popular
",,,,,True,False,,
1230437741,954,0,"https://www.kickstarter.com/projects/1230437741/the-kosan-go-travel-dress?ref=discovery_category_popular
",,,,,True,False,,
waldhoff,859,0,"https://www.kickstarter.com/projects/waldhoff/luxury-watches-made-in-germany-manufaktur-waldhoff?ref=discovery_category_popular
",,,,,True,False,,
cobba,833,0,"https://www.kickstarter.com/projects/cobba/cobba-the-worlds-first-non-stop-shorts-featuring-a?ref=discovery_category_popular
",,,,,True,False,,
radian,827,0,"https://www.kickstarter.com/projects/radian/the-perfect-everyday-jeans?ref=discovery_category_popular
",,,,,True,False,,
1122389206,823,0,"https://www.kickstarter.com/projects/1122389206/bear-butt-outdoor-gear-jackets-backpacks-sleeping?ref=discovery_category_popular
",,,,,True,False,,
