Project_Nr,comments,withdrawn_comments,Link,source_laptop,reward_comment_xml,filename,filesize,bolScrapeAgain,downloaded,error_description,withdrawn_comments_new
punchgraphicnovel_1,344,0,"https://www.kickstarter.com/projects/punchgraphicnovel/seraph?ref=discovery_category_popular
",,,,,True,False,,
1745732143,304,0,"https://www.kickstarter.com/projects/1745732143/cbgb-punk-photos-by-godlis-1976-1979-the-book?ref=discovery_category_popular
",,,,,True,False,,
mynameislentil,208,0,"https://www.kickstarter.com/projects/mynameislentil/project-lentil-chews-kind-tour?ref=discovery_category_popular
",,,,,True,False,,
1239123996,188,0,"https://www.kickstarter.com/projects/1239123996/help-publish-the-anatomy-of-severe-weather?ref=discovery_category_popular
",,,,,True,False,,
kirstymitchell,166,0,"https://www.kickstarter.com/projects/kirstymitchell/the-wonderland-book?ref=discovery_category_popular
",,,,,True,False,,
john-mcdermott,151,0,"https://www.kickstarter.com/projects/john-mcdermott/elegy-reflections-on-angkor?ref=discovery_category_popular
",,,,,True,False,,
the-nasa-project,131,0,"https://www.kickstarter.com/projects/the-nasa-project/nasa-past-and-present-dreams-of-the-future?ref=discovery_category_popular
",,,,,True,False,,
michaelstokes_3,128,0,"https://www.kickstarter.com/projects/michaelstokes/publish-two-large-scale-photo-books-by-michael-sto?ref=discovery_category_popular
",,,,,True,False,,
zombieorpheus,123,0,"https://www.kickstarter.com/projects/zombieorpheus/orcish-beefcake-calendar-2018?ref=discovery_category_popular
",,,,,True,False,,
1204706677,116,0,"https://www.kickstarter.com/projects/1204706677/bruce-springsteen-rock-and-roll-future-the-book?ref=discovery_category_popular
",,,,,True,False,,
punchgraphicnovel_0,105,0,"https://www.kickstarter.com/projects/punchgraphicnovel/s-l-i-p-naked-in-your-own-words?ref=discovery_category_popular
",,,,,True,False,,
coldinstinct,96,0,"https://www.kickstarter.com/projects/coldinstinct/cold-instinct?ref=discovery_category_popular
",,,,,True,False,,
barbaraduriau,89,0,"https://www.kickstarter.com/projects/barbaraduriau/view-from-my-window-life-after-facebook?ref=discovery_category_popular
",,,comment_barbaraduriau.xml,11469.0,True,False,,
174264685_0,89,0,"https://www.kickstarter.com/projects/174264685/larrikin-americana-and-outsiders-by-paul-freeman?ref=discovery_category_popular
",,,,,True,False,,
benchwarmer,89,0,"https://www.kickstarter.com/projects/benchwarmer/bench-warmer-dream-girls?ref=discovery_category_popular
",,,,,True,False,,
773814430,84,0,"https://www.kickstarter.com/projects/773814430/this-is-nowhere?ref=discovery_category_popular
",,,,,True,False,,
johnchakeres,83,0,"https://www.kickstarter.com/projects/johnchakeres/first-fleet-nasas-space-shuttle-program-1981-1986?ref=discovery_category_popular
",,,,,True,False,,
markhenderson,80,0,"https://www.kickstarter.com/projects/markhenderson/color-explosion-by-mark-henderson?ref=discovery_category_popular
",,,,,True,False,,
1542766593,77,0,"https://www.kickstarter.com/projects/1542766593/skyglow-astrophotography-book-and-timelapse-video?ref=discovery_category_popular
",,,,,True,False,,
devinmitchell,76,0,"https://www.kickstarter.com/projects/devinmitchell/the-veteran-vision-project-a-photo-book?ref=discovery_category_popular
",,,,,True,False,,
darshellestevens,71,0,"https://www.kickstarter.com/projects/darshellestevens/the-journey-beyond?ref=discovery_category_popular
",,,,,True,False,,
1060504029,70,0,"https://www.kickstarter.com/projects/1060504029/covers-retracing-reggae-record-sleeves-in-london?ref=discovery_category_popular
",,,,,True,False,,
margotraggett_2,69,0,"https://www.kickstarter.com/projects/margotraggett/remembering-rhinos?ref=discovery_category_popular
",,,,,True,False,,
1534429397,67,0,"https://www.kickstarter.com/projects/1534429397/sweet-ruin-the-brooklyn-domino-sugar-refinery?ref=discovery_category_popular
",,,,,True,False,,
787185114_0,65,0,"https://www.kickstarter.com/projects/787185114/city-mystic-paris?ref=discovery_category_popular
",,,comment_787185114_0.xml,37.0,True,False,,
azpowergirl,64,0,"https://www.kickstarter.com/projects/azpowergirl/cara-nicole-azpowergirl-cosplay-13-month-2020-calendar?ref=discovery_category_popular
",,,,,True,False,,
lavalette,62,0,"https://www.kickstarter.com/projects/lavalette/picturing-the-south-a-photobook?ref=discovery_category_popular
",,,,,True,False,,
wet_0,60,0,"https://www.kickstarter.com/projects/wet/naked-ibiza-a-large-scale-photography-book-by-dyla?ref=discovery_category_popular
",,,,,True,False,,
wowflutes,59,0,"https://www.kickstarter.com/projects/wowflutes/the-great-southwestern-suzuki-adventure-0?ref=discovery_category_popular
",,,,,True,False,,
barereality,57,0,"https://www.kickstarter.com/projects/barereality/bare-reality-100-women-and-their-breasts?ref=discovery_category_popular
",,,,,True,False,,
1390335794,57,0,"https://www.kickstarter.com/projects/1390335794/foxy-and-usatame-in-japan?ref=discovery_category_popular
",,,,,True,False,,
nikola,56,0,"https://www.kickstarter.com/projects/nikola/f-cking-new-york-sex-with-the-city-art-photography?ref=discovery_category_popular
",,,,,True,False,,
michaelstokes_2,56,0,"https://www.kickstarter.com/projects/michaelstokes/publish-two-coffee-table-books-by-michael-stokes?ref=discovery_category_popular
",,,,,True,False,,
541205917,55,0,"https://www.kickstarter.com/projects/541205917/the-circus-a-book-of-cycling-reportage-photography?ref=discovery_category_popular
",,,,,True,False,,
zippylomax,55,0,"https://www.kickstarter.com/projects/zippylomax/dusty-playground?ref=discovery_category_popular
",,,,,True,False,,
ameliag,52,0,"https://www.kickstarter.com/projects/ameliag/ultra-happy-alarm-audra-kawaii-doll-messy-plush-ra?ref=discovery_category_popular
",,,,,True,False,,
michaelstokes_0,52,0,"https://www.kickstarter.com/projects/michaelstokes/publish-two-fine-art-photography-books-by-michael?ref=discovery_category_popular
",,,,,True,False,,
kjosh,52,0,"https://www.kickstarter.com/projects/kjosh/fuck-me-a-photobook-by-josh-kern?ref=discovery_category_popular
",,,,,True,False,,
danielsullivan,51,0,"https://www.kickstarter.com/projects/danielsullivan/the-maui-coast-legacy-of-the-kings-highway?ref=discovery_category_popular
",,,,,True,False,,
1567491643,50,0,"https://www.kickstarter.com/projects/1567491643/art-x-nude-x-book?ref=discovery_category_popular
",,,,,True,False,,
justinbenzel,50,0,"https://www.kickstarter.com/projects/justinbenzel/the-5th-dimension-0?ref=discovery_category_popular
",,,,,True,False,,
396991644_0,49,0,"https://www.kickstarter.com/projects/396991644/a-photography-book-heart-dog?ref=discovery_category_popular
",,,,,True,False,,
497931630,49,0,"https://www.kickstarter.com/projects/497931630/habitat-human-altered-landscapes-aerial-photo-book?ref=discovery_category_popular
",,,,,True,False,,
jpbourdier,49,0,"https://www.kickstarter.com/projects/jpbourdier/bodyscapes-ii-theater-of-life-a-photography-book?ref=discovery_category_popular
",,,,,True,False,,
margotraggett,47,0,"https://www.kickstarter.com/projects/margotraggett/remembering-elephants?ref=discovery_category_popular
",,,,,True,False,,
1666235599,47,0,"https://www.kickstarter.com/projects/1666235599/deadline-1?ref=discovery_category_popular
",,,,,True,False,,
985651062,46,0,"https://www.kickstarter.com/projects/985651062/redhead-beauty-a-portrait-photography-art-book?ref=discovery_category_popular
",,,,,True,False,,
1467572373,45,0,"https://www.kickstarter.com/projects/1467572373/cuba-this-moment-exactly-so-a-multi-sensory-book-f?ref=discovery_category_popular
",,,,,True,False,,
174264685,45,0,"https://www.kickstarter.com/projects/174264685/larrikins-two-male-nude-photography-books-by-paul?ref=discovery_category_popular
",,,,,True,False,,
1546683916,44,0,"https://www.kickstarter.com/projects/1546683916/treasures-of-the-universe-unique-astrophotography?ref=discovery_category_popular
",,,,,True,False,,
jd19,43,0,"https://www.kickstarter.com/projects/jd19/john-downing-legacy?ref=discovery_category_popular
",,,,,True,False,,
779501210_2,43,0,"https://www.kickstarter.com/projects/779501210/that-golden-dog-the-book-and-plush?ref=discovery_category_popular
",,,,,True,False,,
1293604819_0,42,0,"https://www.kickstarter.com/projects/1293604819/dogs-in-cars-a-photography-book?ref=discovery_category_popular
",,,,,True,False,,
1680203463,42,0,"https://www.kickstarter.com/projects/1680203463/andre-josselin-roadtrip-bildband?ref=discovery_category_popular
",,,,,True,False,,
