Project_Nr,comments,withdrawn_comments,Link,source_laptop,reward_comment_xml,filename,filesize,bolScrapeAgain,downloaded,error_description,withdrawn_comments_new
1659939932,4776,0,"https://www.kickstarter.com/projects/dragonsteel/the-way-of-kings-10th-anniversary-leatherbound-edition?ref=discovery_category_popular
",guest,False,,,True,False,,
cabinetentertainment,1313,0,"https://www.kickstarter.com/projects/cabinetentertainment/simon-stalenhags-tales-from-the-loop?ref=discovery_category_popular
",,,,,True,False,,
786059328,1298,0,"https://www.kickstarter.com/projects/786059328/cthulhu-wars-the-art-of-richard-luong?ref=discovery_category_popular
",,,,,True,False,,
1302528630,1253,0,"https://www.kickstarter.com/projects/1302528630/masters-of-anatomy?ref=discovery_category_popular
",,,,,True,False,,
beehivebooks,936,0,"https://www.kickstarter.com/projects/beehivebooks/botanica-a-tarot-deck-about-the-language-of-flowers?ref=discovery_category_popular
",,,,,True,False,,
whenitsready,789,0,"https://www.kickstarter.com/projects/whenitsready/the-world-of-warcraft-diary-0?ref=discovery_category_popular
",,,,,True,False,,
ashdrawsthings,733,0,"https://www.kickstarter.com/projects/ashdrawsthings/draw-like-a-boss-the-physical-book?ref=discovery_category_popular
",,,,,True,False,,
1796651505,668,0,"https://www.kickstarter.com/projects/1796651505/unseen-westeros-artbook-authorized-by-george-rr-ma?ref=discovery_category_popular
",,,,,True,False,,
rafaelaraujo,645,0,"https://www.kickstarter.com/projects/rafaelaraujo/golden-ratio-coloring-book?ref=discovery_category_popular
",,,,,True,False,,
1462758959,614,0,"https://www.kickstarter.com/projects/1462758959/commodore-the-amiga-years-book?ref=discovery_category_popular
",,,,,True,False,,
347008021,590,0,"https://www.kickstarter.com/projects/347008021/the-untamed-beastiary-a-field-guide-to-marvelous-m?ref=discovery_category_popular
",,,,,True,False,,
596618838,585,0,"https://www.kickstarter.com/projects/596618838/the-art-of-brom?ref=discovery_category_popular
",,,,,True,False,,
gabedurham,582,0,"https://www.kickstarter.com/projects/gabedurham/boss-fight-books?ref=discovery_category_popular
",,,,,True,False,,
1027829739,537,0,"https://www.kickstarter.com/projects/1027829739/fiction-unboxed-change-the-world-with-a-story?ref=discovery_category_popular
",,,,,True,False,,
21draw,510,0,"https://www.kickstarter.com/projects/21draw/the-character-designer?ref=discovery_category_popular
",,,,,True,False,,
1464555500,495,0,"https://www.kickstarter.com/projects/1464555500/the-gathering-reuniting-pioneering-artists-of-magi?ref=discovery_category_popular
",,,,,True,False,,
elitereclamation,488,0,"https://www.kickstarter.com/projects/elitereclamation/reclamation-an-elite-novella-by-a-fan-for-the-fans?ref=discovery_category_popular
",,,,,True,False,,
hardcover,483,0,"https://www.kickstarter.com/projects/hardcover/hardcover-adult-artbook-1?ref=discovery_category_popular
",,,,,True,False,,
600766964,477,0,"https://www.kickstarter.com/projects/600766964/the-storytellers-thesaurus?ref=discovery_category_popular
",,,,,True,False,,
1163416226,471,0,"https://www.kickstarter.com/projects/workhousegames/tales-from-the-hollow-earth-volume-1-the-awful-orp?ref=discovery_category_popular
",guest,False,,,True,False,,
jbmonge,461,0,"https://www.kickstarter.com/projects/jbmonge/celtic-faeries-deluxe-edition-book-by-jean-baptist?ref=discovery_category_popular
",,,,,True,False,,
lindaliukas,461,0,"https://www.kickstarter.com/projects/lindaliukas/hello-ruby?ref=discovery_category_popular
",,,,,True,False,,
336512366,458,0,"https://www.kickstarter.com/projects/336512366/the-cost-of-exploration-an-elite-dangerous-world-b?ref=discovery_category_popular
",,,,,True,False,,
bambikhan,453,0,"https://www.kickstarter.com/projects/bambikhan/a-field-guide-to-dragons-wyrms-and-serpents-of-the?ref=discovery_category_popular
",,,,,True,False,,
532372598,420,0,"https://www.kickstarter.com/projects/532372598/zenhabits?ref=discovery_category_popular
",,,,,True,False,,
planetmoney,416,0,"https://www.kickstarter.com/projects/planetmoney/planet-money-t-shirt?ref=discovery_category_popular
",,,,,True,False,,
1410794241,410,0,"https://www.kickstarter.com/projects/1410794241/elite-anthology-tales-from-the-frontier-working-ti?ref=discovery_category_popular
",,,,,True,False,,
1904003967,409,0,"https://www.kickstarter.com/projects/1904003967/dan-luvisis-popped-culture?ref=discovery_category_popular
",,,,,True,False,,
workhousegames,397,0,"https://www.kickstarter.com/projects/workhousegames/tales-from-the-hollow-earth-the-awful-orphanage?ref=discovery_category_popular
",,,,,True,False,,
weiner,387,0,"https://www.kickstarter.com/projects/weiner/augie-and-the-green-knight-a-childrens-adventure-b?ref=discovery_category_popular
",,,,,True,False,,
pennyarcade,374,0,"https://www.kickstarter.com/projects/pennyarcade/penny-arcades-podcast-downloadable-content-the-ret?ref=discovery_category_popular
",,,,,True,False,,
woodpunk,364,0,"https://www.kickstarter.com/projects/woodpunk/artcade-the-coin-op-art-book?ref=discovery_category_popular
",,,,,True,False,,
469255657,356,0,"https://www.kickstarter.com/projects/469255657/commodore-the-inside-story?ref=discovery_category_popular
",,,,,True,False,,
headstamp,349,0,"https://www.kickstarter.com/projects/headstamp/thorneycroft-to-sa80-british-bullpup-firearms-19012020?ref=discovery_category_popular
",,,,,True,False,,
478789344,349,0,"https://www.kickstarter.com/projects/478789344/the-warden-and-the-wolf-king?ref=discovery_category_popular
",,,,,True,False,,
halmangold,328,0,"https://www.kickstarter.com/projects/halmangold/tour-de-lovecraft-the-destinations-cthulhu-mythos?ref=discovery_category_popular
",,,,,True,False,,
constancemetzinger,322,0,"https://www.kickstarter.com/projects/constancemetzinger/make-100-the-apollo-11-flight-plan-50th-anniversar?ref=discovery_category_popular
",,,,,True,False,,
481703930,316,0,"https://www.kickstarter.com/projects/481703930/ballpoint-beauties-by-frank-cho?ref=discovery_category_popular
",,,,,True,False,,
bluemilk,302,0,"https://www.kickstarter.com/projects/bluemilk/star-wars-the-vintage-collection-archive-edition-book?ref=discovery_category_popular
",,,,,True,False,,
badmonkeyart,297,0,"https://www.kickstarter.com/projects/badmonkeyart/alice-in-wonderland-book-illustrated-by-david-dela?ref=discovery_category_popular
",,,,,True,False,,
muntyan,291,0,"https://www.kickstarter.com/projects/muntyan/artbook-by-otto-schmidt?ref=discovery_category_popular
",,,,,True,False,,
nerdcoremedical,290,0,"https://www.kickstarter.com/projects/nerdcoremedical/the-bacterionomicon?ref=discovery_category_popular
",,,,,True,False,,
647049806,289,0,"https://www.kickstarter.com/projects/647049806/derelict-a-short-story?ref=discovery_category_popular
",,,,,True,False,,
1376036639,284,0,"https://www.kickstarter.com/projects/1376036639/skelos-the-journal-of-weird-fiction-and-dark-fanta?ref=discovery_category_popular
",,,,,True,False,,
365dungeons,283,0,"https://www.kickstarter.com/projects/365dungeons/365-dungeons-2015-daily-dungeon-desk-calendar?ref=discovery_category_popular
",,,,,True,False,,
naolito,283,0,"https://www.kickstarter.com/projects/naolito/villains-need-love-art-book?ref=discovery_category_popular
",,,,,True,False,,
1488741362,279,0,"https://www.kickstarter.com/projects/1488741362/the-complete-elmore-volume-ii-black-and-white?ref=discovery_category_popular
",,,,,True,False,,
arcdream,276,0,"https://www.kickstarter.com/projects/arcdream/delta-green-tales-from-failed-anatomies?ref=discovery_category_popular
",,,,,True,False,,
airshipambassador,275,0,"https://www.kickstarter.com/projects/airshipambassador/wollstonecraft?ref=discovery_category_popular
",,,,,True,False,,
155719766,271,0,"https://www.kickstarter.com/projects/155719766/evil-is-a-matter-of-perspective-an-anthology-of-an?ref=discovery_category_popular
",,,,,True,False,,
920311578,271,0,"https://www.kickstarter.com/projects/920311578/coffee-table-book-illustrated-summaries-of-biblica?ref=discovery_category_popular
",,,,,True,False,,
contricode,266,0,"https://www.kickstarter.com/projects/contricode/nintendo-nes-library-guide-and-review-book-of-750?ref=discovery_category_popular
",,,,,True,False,,
988149443,265,0,"https://www.kickstarter.com/projects/988149443/the-comedy-button-podcast-from-the-makers-of-the-d?ref=discovery_category_popular
",,,,,True,False,,
1777566431,265,0,"https://www.kickstarter.com/projects/1777566431/gametek-the-book?ref=discovery_category_popular
",,,,,True,False,,
139596288,253,0,"https://www.kickstarter.com/projects/139596288/encyclopedia-of-air-jordan-sneakers?ref=discovery_category_popular
",,,,,True,False,,
idlethumbs,252,0,"https://www.kickstarter.com/projects/idlethumbs/idle-thumbs-video-game-podcast?ref=discovery_category_popular
",,,,,True,False,,
297519465,248,0,"https://www.kickstarter.com/projects/297519465/the-icarus-deception-why-make-art-new-from-seth-go?ref=discovery_category_popular
",,,,,True,False,,
239564826,244,0,"https://www.kickstarter.com/projects/239564826/faeries-of-the-faultlines-an-art-book-by-iris-comp?ref=discovery_category_popular
",,,,,True,False,,
felipecagno,243,0,"https://www.kickstarter.com/projects/felipecagno/the-few-and-cursed-painting-the-world-red?ref=discovery_category_popular
",,,,,True,False,,
1060776810,239,0,"https://www.kickstarter.com/projects/1060776810/not-without-you-anthology?ref=discovery_category_popular
",,,,,True,False,,
826456098,237,0,"https://www.kickstarter.com/projects/826456098/c86-and-all-that-indie-1983-86-a-history?ref=discovery_category_popular
",,,,,True,False,,
samanthasketches,234,0,"https://www.kickstarter.com/projects/samanthasketches/the-youssef-drawing-syllabus-movement-and-form?ref=discovery_category_popular
",,,,,True,False,,
allenstroud,230,0,"https://www.kickstarter.com/projects/allenstroud/elite-lave-revolution?ref=discovery_category_popular
",,,,,True,False,,
1671130551,227,0,"https://www.kickstarter.com/projects/1671130551/change-is-good-the-collectors-first-edition?ref=discovery_category_popular
",,,,,True,False,,
qtgames,226,0,"https://www.kickstarter.com/projects/qtgames/arcane-synthesis-a-blended-genre-anthology-cosmoth?ref=discovery_category_popular
",,,,,True,False,,
910078610,225,0,"https://www.kickstarter.com/projects/910078610/nf-magazine-year-2-subscriptions?ref=discovery_category_popular
",,,,,True,False,,
1849623603,224,0,"https://www.kickstarter.com/projects/1849623603/grandmother-fish-a-childs-first-book-of-evolution?ref=discovery_category_popular
",,,,,True,False,,
120302834,222,0,"https://www.kickstarter.com/projects/120302834/fall-of-gods?ref=discovery_category_popular
",,,,,True,False,,
1346264441,221,0,"https://www.kickstarter.com/projects/1346264441/now-playing-underrated-movies-we-recommend?ref=discovery_category_popular
",,,,,True,False,,
evilhat,213,0,"https://www.kickstarter.com/projects/evilhat/spirit-of-the-century-presents-the-dinocalypse-tri?ref=discovery_category_popular
",,,,,True,False,,
dianidevine,212,0,"https://www.kickstarter.com/projects/dianidevine/replacing-the-n-word-with-robot-in-huck-finn?ref=discovery_category_popular
",,,,,True,False,,
1428582690,212,0,"https://www.kickstarter.com/projects/1428582690/tarot-fundamentals?ref=discovery_category_popular
",,,,,True,False,,
darrenwall,210,0,"https://www.kickstarter.com/projects/darrenwall/the-bitmap-brothers-universe?ref=discovery_category_popular
",,,,,True,False,,
