Project_Nr,comments,withdrawn_comments,Link,source_laptop,reward_comment_xml,filename,filesize,bolScrapeAgain,downloaded,error_description,withdrawn_comments_new
tiko3d,25469,0,"https://www.kickstarter.com/projects/tiko3d/tiko-the-unibody-3d-printer?ref=discovery_category_popular
",,,comment_tiko3d.xml,37.0,True,False,,
readingrainbow,19740,0,"https://www.kickstarter.com/projects/readingrainbow/bring-reading-rainbow-back-for-every-child-everywh?ref=discovery_category_popular
",,,,,True,False,,
1282890542,17868,0,"https://www.kickstarter.com/projects/1282890542/zetime-worlds-first-smartwatch-with-hands-over-tou?ref=discovery_category_popular
",,,,,True,False,,
1180551085,17499,0,"https://www.kickstarter.com/projects/1180551085/nudeaudio-super-m?ref=discovery_category_popular
",,,,,True,False,,
1003614822,17070,0,"https://www.kickstarter.com/projects/1003614822/ponomusic-where-your-soul-rediscovers-music?ref=discovery_category_popular
",,,,,True,False,,
1403065126,15721,0,"https://www.kickstarter.com/projects/1403065126/obsidian-3d-printer-high-quality-sleek-and-afforda?ref=discovery_category_popular
",,,comment_1403065126.xml,37.0,True,False,,
andromium,13439,0,"https://www.kickstarter.com/projects/andromium/the-superbook-turn-your-smartphone-into-a-laptop-f?ref=discovery_category_popular
",,,,,True,False,,
earin,13293,0,"https://www.kickstarter.com/projects/earin/earin-the-worlds-smallest-wireless-earbuds?ref=discovery_category_popular
",,,,,True,False,,
2106691934,12855,0,"https://www.kickstarter.com/projects/2106691934/blocks-the-worlds-first-modular-smartwatch?ref=discovery_category_popular
",,,,,True,False,,
1001939425,11506,0,"https://www.kickstarter.com/projects/1001939425/creality-cr-6-se-leveling-free-diy-3d-printer-kit?ref=discovery_category_popular
",,,,,True,False,,
mobvoi,10926,0,"https://www.kickstarter.com/projects/mobvoi/ticwatch-s-and-e-a-truly-optimized-smartwatch?ref=discovery_category_popular
",,,,,True,False,,
eozaudio_1,10684,0,"https://www.kickstarter.com/projects/eozaudio/eoz-air-worlds-most-advanced-true-wireless-earphon?ref=discovery_category_popular
",,,,,True,False,,
1227115988,10551,1,"https://www.kickstarter.com/projects/1227115988/neeo-the-thinking-remote?ref=discovery_category_popular
",,,,,True,False,,
cobblebot_0,10153,0,"https://www.kickstarter.com/projects/cobblebot/cobblebot-3d-printer?ref=discovery_category_popular
",,,comment_cobblebot_0.xml,37.0,True,False,,
pimax8kvr,9356,0,"https://www.kickstarter.com/projects/pimax8kvr/pimax-the-worlds-first-8k-vr-headset?ref=discovery_category_popular
",,,,,True,False,,
candyhouse,8770,0,"https://www.kickstarter.com/projects/candyhouse/sesame-your-key-reinvented?ref=discovery_category_popular
",,,,,True,False,,
brentmorgan_0,8560,0,"https://www.kickstarter.com/projects/brentmorgan/superscreen?ref=discovery_category_popular
",,,comment_brentmorgan_0.xml,15655.0,True,False,,
m3d_1,8527,0,"https://www.kickstarter.com/projects/m3d/the-micro-the-first-truly-consumer-3d-printer?ref=discovery_category_popular
",,,comment_m3d_1.xml,37.0,True,False,,
selfly,8164,0,"https://www.kickstarter.com/projects/selfly/selfly-camera-the-smart-flying-phone-case-camera?ref=discovery_category_popular
",,,comment_selfly.xml,37.0,True,False,,
1792059063,7536,0,"https://www.kickstarter.com/projects/1792059063/liberty-the-first-zero-compromise-total-wireless-e?ref=discovery_category_popular
",,,,,True,False,,
jidetech_0,7187,0,"https://www.kickstarter.com/projects/jidetech/remix-mini-the-worlds-first-true-android-pc?ref=discovery_category_popular
",,,,,True,False,,
robotic-industries,7171,0,"https://www.kickstarter.com/projects/robotic-industries/buildone-99-3d-printer-w-wifi-and-auto-bed-levelin?ref=discovery_category_popular
",,,comment_robotic-industries.xml,37.0,True,False,,
2092430307,7089,0,"https://www.kickstarter.com/projects/2092430307/arsenal-the-intelligent-camera-assistant-0?ref=discovery_category_popular
",,,comment_2092430307.xml,37.0,True,False,,
sgnlstrap,7043,0,"https://www.kickstarter.com/projects/sgnlstrap/sgnl-make-phone-calls-with-your-fingertip?ref=discovery_category_popular
",,,,,True,False,,
1403065126_0,6688,0,"https://www.kickstarter.com/projects/1403065126/trinus-the-affordable-all-metal-3d-printer?ref=discovery_category_popular
",,,comment_1403065126_0.xml,37.0,True,False,,
xmachines,6569,0,"https://www.kickstarter.com/projects/xmachines/genesis-surpassing-every-expectation-but-your-budg?ref=discovery_category_popular
",,,comment_xmachines.xml,37.0,True,False,,
anki,6473,0,"https://www.kickstarter.com/projects/anki/vector-by-anki-a-giant-roll-forward-for-robot-kind?ref=discovery_category_popular
",,,,,True,False,,
236195807,6233,0,"https://www.kickstarter.com/projects/236195807/arist-brews-coffee-like-the-best-baristas-anytime?ref=discovery_category_popular
",,,,,True,False,,
giroptic,6079,0,"https://www.kickstarter.com/projects/giroptic/the-worlds-first-full-hd-360-camera?ref=discovery_category_popular
",,,,,True,False,,
jellyphone_1,5920,0,"https://www.kickstarter.com/projects/jellyphone/jelly-the-smallest-4g-smartphone?ref=discovery_category_popular
",,,comment_jellyphone_1.xml,10217.0,True,False,,
aipower,5706,0,"https://www.kickstarter.com/projects/aipower/wearbuds-unique-on-wrist-charging-hi-fi-earbuds?ref=discovery_category_popular
",,,,,True,False,,
1003718989,5691,0,"https://www.kickstarter.com/projects/1003718989/flowmotion-smartphone-stabilizer-the-end-of-shaky?ref=discovery_category_popular
",,,comment_1003718989.xml,37.0,True,False,,
248983394,5660,0,"https://www.kickstarter.com/projects/248983394/ossic-x-the-first-3d-audio-headphones-calibrated-t?ref=discovery_category_popular
",,,,,True,False,,
pirate3d,5596,0,"https://www.kickstarter.com/projects/pirate3d/the-buccaneer-the-3d-printer-that-everyone-can-use?ref=discovery_category_popular
",,,comment_pirate3d.xml,37.0,True,False,,
381277743,5571,0,"https://www.kickstarter.com/projects/381277743/keplero-luxury-wallet?ref=discovery_category_popular
",,,comment_381277743.xml,37.0,True,False,,
505428730,5434,0,"https://www.kickstarter.com/projects/505428730/blink-wire-free-hd-home-monitoring-and-alert-syste?ref=discovery_category_popular
",,,,,True,False,,
playlumi,5325,0,"https://www.kickstarter.com/projects/playlumi/lumi-the-smarter-way-to-learn-and-play-music?ref=discovery_category_popular
",,,,,True,False,,
1116368506,5310,0,"https://www.kickstarter.com/projects/1116368506/evercam-the-wirefree-security-cam-with-365-day-bat?ref=discovery_category_popular
",,,comment_1116368506.xml,37.0,True,False,,
876321144,5200,0,"https://www.kickstarter.com/projects/876321144/fireflies-affordable-wire-free-earbuds?ref=discovery_category_popular
",,,,,True,False,,
pine64,5144,0,"https://www.kickstarter.com/projects/pine64/pine-a64-first-15-64-bit-single-board-super-comput?ref=discovery_category_popular
",,,,,True,False,,
revols,4965,0,"https://www.kickstarter.com/projects/revols/revols-premium-quick-custom-fit-wireless-earphones?ref=discovery_category_popular
",,,,,True,False,,
pugz,4766,0,"https://www.kickstarter.com/projects/pugz/pugz-worlds-smallest-wireless-earbuds-you-charge-w?ref=discovery_category_popular
",,,,,True,False,,
snapmaker,4727,0,"https://www.kickstarter.com/projects/snapmaker/snapmaker-20-modular-3-in-1-3d-printers?ref=discovery_category_popular
",,,comment_snapmaker.xml,37.0,True,False,,
1141432017,4700,0,"https://www.kickstarter.com/projects/1141432017/space-case-1-the-worlds-most-advanced-smart-suitca?ref=discovery_category_popular
",,,comment_1141432017.xml,37.0,True,False,,
1251236349,4660,0,"https://www.kickstarter.com/projects/1251236349/blue-laser-lamp-with-passive-cooling-technology?ref=discovery_category_popular
",,,comment_1251236349.xml,9046.0,True,False,,
inspero,4616,0,"https://www.kickstarter.com/projects/inspero/vinci-20-worlds-first-standalone-ai-sports-headpho?ref=discovery_category_popular
",,,,,True,False,,
drevoblademaster,4598,0,"https://www.kickstarter.com/projects/drevoblademaster/drevo-blademaster-ultimate-keyboard-with-programma?ref=discovery_category_popular
",,,,,True,False,,
1490144222,4531,0,"https://www.kickstarter.com/projects/1490144222/smartkase?ref=discovery_category_popular
",,,comment_1490144222.xml,37.0,True,False,,
436147229,4490,0,"https://www.kickstarter.com/projects/436147229/snapnator-your-macbook-snap-feature-is-back?ref=discovery_category_popular
",,,comment_436147229.xml,37.0,True,False,,
872297630,4471,0,"https://www.kickstarter.com/projects/872297630/gamestick-the-most-portable-tv-games-console-ever?ref=discovery_category_popular
",,,,,True,False,,
921065126,4434,0,"https://www.kickstarter.com/projects/921065126/taihe-gemini-the-most-affordable-on-the-go-monitor?ref=discovery_category_popular
",,,comment_921065126.xml,21509.0,True,False,,
qu-bd,4408,0,"https://www.kickstarter.com/projects/qu-bd/qu-bd-one-up-open-source-production-ready-3d-print?ref=discovery_category_popular
",,,comment_qu-bd.xml,37.0,True,False,,
865543623,4384,0,"https://www.kickstarter.com/projects/865543623/solarcru-smallest-and-lightest-foldable-solar-pane?ref=discovery_category_popular
",,,comment_865543623.xml,37.0,True,False,,
155163930,4324,0,"https://www.kickstarter.com/projects/155163930/paradise-desk-everything-youve-ever-wanted-in-a-de?ref=discovery_category_popular
",,,,,True,False,,
delmarth,4305,0,"https://www.kickstarter.com/projects/delmarth/stonetether-the-smallest-tracking-device-at-long-r?ref=discovery_category_popular
",,,comment_delmarth.xml,37.0,True,False,,
1450781303,4286,0,"https://www.kickstarter.com/projects/1450781303/bonjour-smart-alarm-clock-with-artificial-intellig?ref=discovery_category_popular
",,,comment_1450781303.xml,37.0,True,False,,
1166718747,4212,0,"https://www.kickstarter.com/projects/1166718747/card20-paper-thin-tws-headphones-w-supreme-sound-quality?ref=discovery_category_popular
",,,,,True,False,,
sevensixteen,4211,0,"https://www.kickstarter.com/projects/sevensixteen/click-the-first-watch-band-adapter-for-apple-watch?ref=discovery_category_popular
",,,,,True,False,,
1819116160,4105,0,"https://www.kickstarter.com/projects/1819116160/pure-customizable-headphones-that-adjust-to-your-h?ref=discovery_category_popular
",,,comment_1819116160.xml,37.0,True,False,,
mobvoi_0,4064,0,"https://www.kickstarter.com/projects/mobvoi/ticwatch-2-the-most-interactive-smartwatch?ref=discovery_category_popular
",,,,,True,False,,
1663270989,4045,0,"https://www.kickstarter.com/projects/1663270989/project-perception-neuron?ref=discovery_category_popular
",,,,,True,False,,
761213838,4015,0,"https://www.kickstarter.com/projects/761213838/sowatch?ref=discovery_category_popular
",,,,,True,False,,
ubik1,4000,0,"https://www.kickstarter.com/projects/ubik1/ubik-uno-solid-performance-smartphone-at-unbeatabl?ref=discovery_category_popular
",,,,,True,False,,
1050572498,3863,0,"https://www.kickstarter.com/projects/1050572498/vi-the-first-true-artificial-intelligence-personal?ref=discovery_category_popular
",,,,,True,False,,
711921138,3787,0,"https://www.kickstarter.com/projects/711921138/anchor-cable-last-cable-you-will-ever-need-0?ref=discovery_category_popular
",,,comment_711921138.xml,37.0,True,False,,
101hero,3781,0,"https://www.kickstarter.com/projects/101hero/101hero-the-world-first-us49-3d-printer?ref=discovery_category_popular
",,,comment_101hero.xml,37.0,True,False,,
161302347,3731,0,"https://www.kickstarter.com/projects/161302347/fizzics-waytap-untap-the-full-taste-of-beer-with-s?ref=discovery_category_popular
",,,comment_161302347.xml,7511.0,True,False,,
lunarmissionone,3703,0,"https://www.kickstarter.com/projects/lunarmissionone/lunar-mission-one-a-new-lunar-mission-for-everyone?ref=discovery_category_popular
",,,,,True,False,,
