Project_Nr,comments,withdrawn_comments,Link,source_laptop,reward_comment_xml,filename,filesize,bolScrapeAgain,downloaded,error_description,withdrawn_comments_new
993462222,474,0,"https://www.kickstarter.com/projects/993462222/bombshell-from-the-nbc-series-smash-a-broadway-con?ref=discovery_category_popular
",,,,,True,False,,
starkid,211,0,"https://www.kickstarter.com/projects/starkid/firebringer-starkids-new-stone-age-musical?ref=discovery_category_popular
",,,,,True,False,,
verdigris,171,0,"https://www.kickstarter.com/projects/verdigris/verdigris-a-play-by-jim-beaver?ref=discovery_category_popular
",,,,,True,False,,
640673656,130,0,"https://www.kickstarter.com/projects/640673656/help-me-im-dying-the-show?ref=discovery_category_popular
",,,,,True,False,,
tunaandtherockcats,119,0,"https://www.kickstarter.com/projects/tunaandtherockcats/the-acro-cats-mobile-foster-and-kitty-tour-bus?ref=discovery_category_popular
",,,,,True,False,,
orionacaba,78,0,"https://www.kickstarter.com/projects/orionacaba/draconian-knights?ref=discovery_category_popular
",,,,,True,False,,
huskyjackaltheater,74,0,"https://www.kickstarter.com/projects/huskyjackaltheater/terminator-the-second?ref=discovery_category_popular
",,,,,True,False,,
1798121016,72,0,"https://www.kickstarter.com/projects/1798121016/american-psycho?ref=discovery_category_popular
",,,,,True,False,,
tincanbros,69,0,"https://www.kickstarter.com/projects/tincanbros/spies-are-forever-a-new-comedy-musical?ref=discovery_category_popular
",,,,,True,False,,
32942881,68,0,"https://www.kickstarter.com/projects/32942881/art-of-warr-presents-the-dark-side-of-love-3-plays-in-nyc?ref=discovery_category_popular
",,,,,True,False,,
1174980712,51,0,"https://www.kickstarter.com/projects/1174980712/ghoulmasters-haunted-playhouse?ref=discovery_category_popular
",,,,,True,False,,
7903754,46,0,"https://www.kickstarter.com/projects/7903754/sister-of-shattering-glass-a-story-told-via-text-m?ref=discovery_category_popular
",,,,,True,False,,
1947692763,44,0,"https://www.kickstarter.com/projects/1947692763/build-the-house-of-dads?ref=discovery_category_popular
",,,,,True,False,,
rvacomedy,43,0,"https://www.kickstarter.com/projects/rvacomedy/the-coalition-theater-0?ref=discovery_category_popular
",,,,,True,False,,
theatreofnote,40,0,"https://www.kickstarter.com/projects/theatreofnote/kirsten-vangsness-fempire?ref=discovery_category_popular
",,,,,True,False,,
improvcincinnati,39,0,"https://www.kickstarter.com/projects/improvcincinnati/help-us-improve-our-theatre?ref=discovery_category_popular
",,,,,True,False,,
idiedwhatever,36,0,"https://www.kickstarter.com/projects/idiedwhatever/macbeth-his-story-her-tragedy?ref=discovery_category_popular
",,,,,True,False,,
kinseysicks,36,0,"https://www.kickstarter.com/projects/kinseysicks/help-the-kinsey-sicks-conquer-the-worlds-largest-a?ref=discovery_category_popular
",,,,,True,False,,
564518565,34,0,"https://www.kickstarter.com/projects/564518565/the-north-pole-at-the-fair-a-christmas-paradise-fo?ref=discovery_category_popular
",,,,,True,False,,
1142527446,34,0,"https://www.kickstarter.com/projects/1142527446/brilliant-traces-a-play-by-art-of-warr-productions?ref=discovery_category_popular
",,,,,True,False,,
1060924354,31,0,"https://www.kickstarter.com/projects/1060924354/walker-stalkers-the-walking-dead-experience-chapte?ref=discovery_category_popular
",,,,,True,False,,
407861051,31,0,"https://www.kickstarter.com/projects/407861051/the-book-of-oded-chapter-2?ref=discovery_category_popular
",,,,,True,False,,
wholehogtheatre,30,0,"https://www.kickstarter.com/projects/wholehogtheatre/stage-adaptation-of-studio-ghiblis-princess-monono?ref=discovery_category_popular
",,,,,True,False,,
1426133371,29,0,"https://www.kickstarter.com/projects/1898580232/globe-to-globe-hamlet?ref=discovery_category_popular
",guest,False,,,True,False,,
1298995537,29,0,"https://www.kickstarter.com/projects/1298995537/caged?ref=discovery_category_popular
",,,,,True,False,,
octet,29,0,"https://www.kickstarter.com/projects/octet/octet-original-cast-recording?ref=discovery_category_popular
",,,,,True,False,,
346863196,28,0,"https://www.kickstarter.com/projects/346863196/night-of-ashes?ref=discovery_category_popular
",,,,,True,False,,
1860098210,25,0,"https://www.kickstarter.com/projects/1860098210/plays-on-words-a-collection-of-plays-by-marvin-cohen?ref=discovery_category_popular
",,,,,True,False,,
fellandfair,23,0,"https://www.kickstarter.com/projects/fellandfair/weekend-warrior?ref=discovery_category_popular
",,,,,True,False,,
emmaalamo,23,0,"https://www.kickstarter.com/projects/emmaalamo/the-walls-of-harrow-house?ref=discovery_category_popular
",,,,,True,False,,
95940486,23,0,"https://www.kickstarter.com/projects/95940486/october-in-the-chair-and-other-fragile-thingsthis?ref=discovery_category_popular
",,,,,True,False,,
518186236,22,0,"https://www.kickstarter.com/projects/518186236/shakespeare-in-the-park-a-comedy-of-errors?ref=discovery_category_popular
",,,,,True,False,,
helpusfly,20,0,"https://www.kickstarter.com/projects/helpusfly/peter-pan-is-amost-out-of-magic-pixie-dust-and-can?ref=discovery_category_popular
",,,,,True,False,,
vinnydeponto,20,0,"https://www.kickstarter.com/projects/vinnydeponto/the-conjurors-club?ref=discovery_category_popular
",,,,,True,False,,
jeffmach,20,0,"https://www.kickstarter.com/projects/jeffmach/steampunk-haunted-house-halloween-forever?ref=discovery_category_popular
",,,,,True,False,,
1068339553,20,0,"https://www.kickstarter.com/projects/1068339553/the-monster-of-phantom-lake-the-musical?ref=discovery_category_popular
",,,,,True,False,,
peafrogpuppetry,18,0,"https://www.kickstarter.com/projects/peafrogpuppetry/the-time-machine-from-award-winning-mumblecrust-th?ref=discovery_category_popular
",,,,,True,False,,
1047687043,18,0,"https://www.kickstarter.com/projects/1047687043/jib-a-new-rock-musical-album-and-film?ref=discovery_category_popular
",,,,,True,False,,
hatchescapes,18,0,"https://www.kickstarter.com/projects/hatchescapes/the-ladder-the-worlds-first-truly-replayable-escape-room?ref=discovery_category_popular
",,,,,True,False,,
vermontcomedyclub,18,0,"https://www.kickstarter.com/projects/vermontcomedyclub/a-home-for-comedy-in-vermont?ref=discovery_category_popular
",,,,,True,False,,
shattered2019,17,0,"https://www.kickstarter.com/projects/shattered2019/shattered-heads-to-edinburgh-fringe?ref=discovery_category_popular
",,,,,True,False,,
thecolonelmustard,17,0,"https://www.kickstarter.com/projects/thecolonelmustard/spider-man-the-musical-the-musical?ref=discovery_category_popular
",,,,,True,False,,
1001521898,16,0,"https://www.kickstarter.com/projects/1001521898/help-renew-the-rainbow-stage-and-office-for-future?ref=discovery_category_popular
",,,,,True,False,,
949450857,16,0,"https://www.kickstarter.com/projects/949450857/deep-love-going-to-the-moon?ref=discovery_category_popular
",,,,,True,False,,
sweetandlucky,16,0,"https://www.kickstarter.com/projects/sweetandlucky/wild-party-denver?ref=discovery_category_popular
",,,,,True,False,,
1601712092,16,0,"https://www.kickstarter.com/projects/1601712092/the-voix-de-ville-a-pop-up-theater-and-cabaret?ref=discovery_category_popular
",,,,,True,False,,
1038098497,16,0,"https://www.kickstarter.com/projects/1038098497/indigo-grey-immersive-show-experience?ref=discovery_category_popular
",,,,,True,False,,
adrianvillegas,16,0,"https://www.kickstarter.com/projects/adrianvillegas/estar-guars?ref=discovery_category_popular
",,,,,True,False,,
1365853422,15,0,"https://www.kickstarter.com/projects/1365853422/the-pocket-theater-seattle-needs-a-place-to-perfor?ref=discovery_category_popular
",,,,,True,False,,
ytas,15,0,"https://www.kickstarter.com/projects/ytas/national-festival-of-youth-theatre-play-a-lead-rol?ref=discovery_category_popular
",,,,,True,False,,
281141563,15,0,"https://www.kickstarter.com/projects/281141563/sondheim-85th-birthday-gala-at-theatre-royal-drury?ref=discovery_category_popular
",,,,,True,False,,
251370657,15,0,"https://www.kickstarter.com/projects/251370657/pug-let-the-first-ever-all-pug-production-of-hamle?ref=discovery_category_popular
",,,,,True,False,,
jamieflam,14,0,"https://www.kickstarter.com/projects/jamieflam/a-new-entertainment-experience-in-a-historic-la-th?ref=discovery_category_popular
",,,,,True,False,,
1423174787,13,0,"https://www.kickstarter.com/projects/1423174787/naked-with-a-deck-of-cards?ref=discovery_category_popular
",,,,,True,False,,
1913592405,13,0,"https://www.kickstarter.com/projects/1913592405/bronies-the-musical?ref=discovery_category_popular
",,,,,True,False,,
1991000222,13,0,"https://www.kickstarter.com/projects/1991000222/living-tarot-oracle-of-sw-colorado-2014?ref=discovery_category_popular
",,,,,True,False,,
399278474,12,0,"https://www.kickstarter.com/projects/399278474/broken-biscuits-edingburgh?ref=discovery_category_popular
",,,,,True,False,,
john-kurzy,12,0,"https://www.kickstarter.com/projects/john-kurzy/you-on-the-moors-now?ref=discovery_category_popular
",,,,,True,False,,
folkscon,12,0,"https://www.kickstarter.com/projects/folkscon/folkscon?ref=discovery_category_popular
",,,,,True,False,,
poetcole,11,0,"https://www.kickstarter.com/projects/poetcole/evil-dead-the-musical-pensacola-fl?ref=discovery_category_popular
",,,,,True,False,,
800227555,11,0,"https://www.kickstarter.com/projects/800227555/the-iowa-theater-marquee-rehabilitation-winterset?ref=discovery_category_popular
",,,,,True,False,,
katrobichaud,11,0,"https://www.kickstarter.com/projects/katrobichaud/kat-robichauds-misfit-cabaret?ref=discovery_category_popular
",,,,,True,False,,
angel-comedy,11,0,"https://www.kickstarter.com/projects/angel-comedy/angel-comedy-club?ref=discovery_category_popular
",,,,,True,False,,
879845727,11,0,"https://www.kickstarter.com/projects/879845727/an-intimate-evening-with-typhoid-mary?ref=discovery_category_popular
",,,,,True,False,,
1651723559,11,0,"https://www.kickstarter.com/projects/1651723559/house-of-yes?ref=discovery_category_popular
",,,,,True,False,,
1959286520,11,0,"https://www.kickstarter.com/projects/1959286520/sustainable-theatre-project-and-the-life-cycle-of?ref=discovery_category_popular
",,,,,True,False,,
148070532,11,0,"https://www.kickstarter.com/projects/148070532/not-this-year-i-have-a-headache-a-comedy-about-mar?ref=discovery_category_popular
",,,,,True,False,,
1384441698,11,0,"https://www.kickstarter.com/projects/1384441698/titus-and-two-conversations-huzzah?ref=discovery_category_popular
",,,,,True,False,,
1224641808,10,0,"https://www.kickstarter.com/projects/1224641808/event-horizon-larp?ref=discovery_category_popular
",,,,,True,False,,
almostlegalproduct,10,0,"https://www.kickstarter.com/projects/almostlegalproduct/shaun-of-the-dead-live?ref=discovery_category_popular
",,,,,True,False,,
1928802243,10,0,"https://www.kickstarter.com/projects/1928802243/riot-las-alternative-comedy-festival?ref=discovery_category_popular
",,,,,True,False,,
1313658164,10,0,"https://www.kickstarter.com/projects/1313658164/we-players-presents-interactive-hamlet-on-alcatraz-0?ref=discovery_category_popular
",,,,,True,False,,
thicketnthistle,9,0,"https://www.kickstarter.com/projects/thicketnthistle/whats-your-wish-thicket-and-thistles-fringenyc-mus?ref=discovery_category_popular
",,,,,True,False,,
fabsylvester,9,0,"https://www.kickstarter.com/projects/fabsylvester/mighty-real-sylvester-goes-to-broadway?ref=discovery_category_popular
",,,,,True,False,,
thegenerationofz,9,0,"https://www.kickstarter.com/projects/thegenerationofz/the-generation-of-z-edinburgh?ref=discovery_category_popular
",,,,,True,False,,
thirdrailprojects,9,0,"https://www.kickstarter.com/projects/thirdrailprojects/then-she-fell?ref=discovery_category_popular
",,,,,True,False,,
1233171271,9,0,"https://www.kickstarter.com/projects/1233171271/keep-the-art-of-marionettes-alive-with-puppetworks?ref=discovery_category_popular
",,,,,True,False,,
1266424005,9,0,"https://www.kickstarter.com/projects/1266424005/sidekicks-a-musical-sidekickstarter?ref=discovery_category_popular
",,,,,True,False,,
2092515305,9,0,"https://www.kickstarter.com/projects/2092515305/heroine-a-female-soldiers-story?ref=discovery_category_popular
",,,,,True,False,,
950413761,9,0,"https://www.kickstarter.com/projects/950413761/nordos-culinarium-where-food-meets-art?ref=discovery_category_popular
",,,,,True,False,,
1181804507,9,0,"https://www.kickstarter.com/projects/1181804507/hamlet-the-hip-hopera?ref=discovery_category_popular
",,,,,True,False,,
aaronholmes,9,0,"https://www.kickstarter.com/projects/aaronholmes/x-files-the-musical-presented-by-the-colonel-musta?ref=discovery_category_popular
",,,,,True,False,,
sparrowtree,9,0,"https://www.kickstarter.com/projects/sparrowtree/hansel-and-gretel-an-indie-folk-musical?ref=discovery_category_popular
",,,,,True,False,,
blackoutexperience,9,0,"https://www.kickstarter.com/projects/blackoutexperience/blackout-immersive-halloween-show?ref=discovery_category_popular
",,,,,True,False,,
1150479436,8,0,"https://www.kickstarter.com/projects/1150479436/the-dreamer-and-the-devil-a-new-musical?ref=discovery_category_popular
",,,,,True,False,,
2089767444,8,0,"https://www.kickstarter.com/projects/2089767444/or-the-whale-an-original-stage-adaptation-of-moby?ref=discovery_category_popular
",,,,,True,False,,
njrenfaire,8,0,"https://www.kickstarter.com/projects/njrenfaire/new-jersey-renaissance-faires-quest-for-a-home?ref=discovery_category_popular
",,,,,True,False,,
491143338,8,0,"https://www.kickstarter.com/projects/196598294/saving-americana-the-sidney-auto-vue-drive-in-need?ref=discovery_category_popular
",guest,False,,,True,False,,
1086790052,8,0,"https://www.kickstarter.com/projects/1086790052/the-tumbleweed-zephyr-by-maggie-lee?ref=discovery_category_popular
",,,,,True,False,,
1706756548,8,0,"https://www.kickstarter.com/projects/1706756548/the-eternal-space-brings-the-old-penn-station-back?ref=discovery_category_popular
",,,,,True,False,,
1390838208,8,0,"https://www.kickstarter.com/projects/1390838208/the-grapevine-escape?ref=discovery_category_popular
",,,,,True,False,,
